Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2354867,47804078,n/a,66.22,0.9584530557776724,357709,516986,n/a,100,1.17,15.19,108539,n/a,100,20.30011801091102,9.69,2.01,35428,n/a,38.577529133152744,0.0,,169591,47331,n/a,0,1.0,566450,n/a,166653,0.0,79549,24.05,n/a,1605424,172638,763603,203428,426748,370239,1837881,252421,21.95,219161,4.61,47.56,1.5,23.06,7.2,15.72,7.08,13.65,3.38,7.33,27611,228094,8.64,0,78.05
Baseline for All Items,2131785,47302402,n/a,71.24,0.9988057684991685,357709,499771,n/a,n/a,1.22,16.78,106348,n/a,n/a,22.189105374134822,10.28,2.22,34618,100,41.30664468199185,0.0,,160305,47331,100,0,1.0930530237414628,566450,n/a,163524,0.0,78755,26.57,n/a,1500272,168497,713360,198500,423464,358578,1632014,238632,23.44,189702,4.99,47.55,1.62,23.9,7.52,15.91,7.67,12.64,3.69,7.9,25999,219144,9.31,0,76.56
USA,630917,19423571,1,70.68,1.353789229645104,150468,187832,72.67,26.792043881883775,1.97,23.85,22144,62.89,40.63161933590686,30.786253976355052,14.24,3.4,12210,29.595714389584316,45.18756079880555,0.0,Country/Region,58150,21444,41.06254688715385,0,1.516555419028002,153234,n/a,51179,0.0,60318,24.29,n/a,466067,65775,283223,95328,216838,102003,443085,53861,29.77,26980,3.51,60.77,1.94,21.89,9.22,11.56,8.11,5.79,9.56,10.43,12401,89858,15.11,0,70.23
UNITED KINGDOM,179577,5444363,2,71.54,1.380989176230809,66820,52544,64.88,7.625780988905106,1.98,37.21,7345,51.19,11.388909121937255,30.31770772426313,14.25,3.23,4130,8.423785700715596,46.08332129838454,0.0,Country/Region,17797,5808,11.509696695740738,0,1.4934744570434417,24758,n/a,18937,0.0,12123,13.79,n/a,126605,18561,72527,23272,37404,30698,127033,16471,29.26,6909,4.09,57.29,2.3,24.25,9.91,13.01,10.55,5.46,6.75,10.34,3555,25589,12.96,0,70.74
ENGLAND,154084,4791921,3,71.75,1.4062395758157888,57657,45312,63.09,6.5432145424773465,2.05,37.42,6284,49.71,10.024084137759125,31.099406817060824,14.49,3.47,3590,7.227933398536907,46.35734495210405,0.0,Country/Region,15448,5351,10.130396760824112,0,1.5319815776610433,22566,n/a,16534,0.0,10320,14.65,n/a,108979,16023,62875,19990,33206,26372,108772,13829,29.41,5903,4.08,57.69,2.33,24.2,10.03,12.69,10.73,5.42,6.7,10.4,3159,22328,12.97,0,70.59
GERMANY (FED REP GER),148842,4480700,4,74.7,1.2462895170717943,62890,41233,67.05,6.320611737308307,1.78,42.25,6954,61.61,9.373049721824987,30.103734161056693,13.18,4.72,3043,6.982036180946953,45.85269378468443,0.0,Country/Region,13426,7029,9.47245765659004,0,1.4829339487029765,25013,n/a,18255,0.0,4442,16.81,n/a,111819,14290,59574,17810,37719,24586,107609,13802,27.7,13857,4.67,53.28,2.04,21.99,9.02,12.34,12.26,12.39,2.98,9.6,2653,19615,11.97,0,72.3
CHINA MAINLAND,213519,4374855,5,72.06,0.7963485792833425,39594,28482,89.2,9.067136275636798,0.92,18.54,8283,78.45,9.151635557117114,20.48930071796889,8.75,1.44,2160,10.015972530062834,40.20398869983468,0.0,Country/Region,9914,3078,9.248695235392063,0,1.0093192909990074,61010,n/a,7717,0.0,2074,28.57,n/a,137824,9717,54167,8125,40708,37647,185037,24632,13.34,21378,3.88,39.3,1.01,27.32,4.64,17.87,3.61,15.51,0.97,4.55,1967,18679,3.81,0,86.66
FRANCE,101470,3034935,6,77.33,1.2297840258204396,45719,32537,64.85,4.308948233594509,1.69,45.06,5118,58.41,6.348694770349928,29.909677737262246,13.05,4.62,2143,4.759860867770437,47.45025840445452,0.0,Country/Region,10076,4692,6.416027245297185,0,1.4733745745313513,23952,n/a,17412,0.0,2599,23.61,n/a,76399,9777,41328,15200,22090,16879,68933,8734,32.07,9458,5.04,54.09,2.11,22.09,9.93,11.43,17.16,12.38,2.56,9.64,1718,13243,14.98,0,67.93
CANADA,94546,2992046,7,75.53,1.3219349491252936,36923,24241,66.48,4.014918889262111,1.93,39.05,4329,57.3,6.258976483136021,31.646457808897257,13.66,2.74,1621,4.435062635303279,47.537298827026,0.0,Country/Region,8961,2590,6.325357431108889,0,1.5589297457230418,15315,n/a,8137,0.0,3377,16.2,n/a,68854,8902,38554,9330,21296,16481,70305,9476,25.64,4343,4.58,55.99,1.71,23.94,9.48,13.76,8.61,6.31,3.57,9.42,1828,12915,9.87,0,74.36
JAPAN,116809,2493706,8,75.09,0.8177241633778219,26818,31563,79.92,4.960322599959998,0.84,22.96,5619,75.06,5.216513118399648,21.34857759248003,8.23,5.23,2116,5.479398719852142,40.52087785273395,0.0,Country/Region,14809,6109,5.2718379924977175,0,1.0516479550023048,37396,n/a,9329,0.0,1672,32.01,n/a,91111,8371,38146,9019,25091,23242,85246,19806,27.02,9917,4.81,41.87,1.81,25.51,12.68,21.74,7.99,10.88,1.43,7.17,982,9610,7.72,0,72.98
ITALY,90609,2438699,9,74.39,1.1653404650752135,33110,23997,73.07,3.8477332265474016,1.57,36.54,4572,64.19,5.101445529396049,26.914533876325752,12.27,2.82,1479,4.250381722359431,45.42811307265283,0.0,Country/Region,7879,2551,5.155550028939334,0,1.3258313996923357,22081,n/a,10919,0.0,2067,24.37,n/a,67347,7885,35681,10067,16443,17158,66612,9392,26.48,5116,5.05,52.98,1.63,25.48,8.7,13.95,12.05,7.6,2.28,8.7,1427,11120,11.11,0,73.52
AUSTRALIA,68842,2231508,10,78.19,1.3493053281427037,26217,16607,67.73,2.9233922765064864,1.96,38.08,2692,56.12,4.668028530955037,32.414921123732604,14.12,2.18,971,3.229312524480658,49.31609660091224,0.0,Country/Region,5663,1502,4.717536331453105,0,1.5967848613643552,13223,n/a,5625,0.0,2083,19.21,n/a,49346,6536,25126,7281,12232,12583,52235,8006,24.12,3631,3.91,50.92,1.41,25.5,8.23,16.22,8.17,7.36,3.03,9.49,1349,9720,10.58,0,75.88
NETHERLANDS,51884,2097304,11,78.0,1.5961193258037158,24526,18402,65.43,2.2032666813030204,2.58,47.27,2505,58.63,4.387290975468662,40.422943489322336,17.2,5.31,2615,2.4338289274012155,52.00156943566418,0.0,Country/Region,5976,2755,4.43382135224338,0,1.9912664284806416,8986,n/a,7163,0.0,1774,17.32,n/a,40447,8705,25380,7306,15646,9376,33482,4044,35.47,1647,4.83,62.75,5.04,23.18,11.52,10.0,13.81,4.07,3.42,16.78,1337,8925,14.08,0,64.53
SPAIN,79739,2006202,12,72.78,1.0601569407692597,27555,20889,74.93,3.3861360323109544,1.3,34.56,4296,62.37,4.196717275877593,25.1596082218237,10.75,2.21,1091,3.7404803955370736,43.3892697024041,0.0,Country/Region,6196,1759,4.241226481479735,0,1.2393823626198022,16244,n/a,9638,0.0,2794,20.37,n/a,55489,7265,29912,9306,12001,12574,58850,7629,26.2,5374,5.39,53.91,1.37,22.66,7.77,13.75,12.09,9.68,3.5,9.11,1037,8573,11.67,0,73.8
