Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1375278,38303131,n/a,67.32,0.9867154831968519,167873,174307,n/a,100,1.22,12.21,10509,n/a,100,27.851191540910275,10.01,1.99,11557,n/a,38.94706547977936,0.0,,91192,27343,n/a,0,1.0,263496,n/a,46911,0.0,5977,19.16,n/a,1048182,47778,517835,61049,634866,220872,1200971,158447,12.67,151028,0.76,49.4,0.84,21.07,6.63,15.12,3.41,14.41,0.43,3.47,16730,137662,4.44,0,87.33
Baseline for All Items,1202285,38050271,n/a,74.54,1.044026064701797,167873,168841,n/a,n/a,1.29,13.96,10190,n/a,n/a,31.648295537247822,10.84,2.27,11457,100,42.83501252265478,0.0,,86956,27343,100,0,1.136335423594356,263496,n/a,46377,0.0,5806,21.92,n/a,944582,46871,480087,60238,629913,207266,1033444,140585,14.04,116644,0.85,50.83,0.95,21.94,7.23,14.88,3.86,12.35,0.48,3.9,15463,130345,5.01,0,85.96
USA,441654,18151716,1,71.03,1.3641028766862748,76471,67660,0.0,32.11379808300576,1.94,17.31,2751,0.0,47.38964028815295,41.09940360553737,14.23,3.02,6070,36.73455129191498,45.049770833955996,0.0,Country/Region,33202,13327,47.70456431177586,0,1.475678465862653,95072,n/a,17694,0.0,2650,21.53,n/a,347716,19993,216949,25637,344715,67322,373994,35396,15.32,28049,0.62,62.39,1.37,19.36,7.52,10.18,4.01,8.07,0.6,4.53,8584,62853,5.8,0,84.68
UNITED KINGDOM,112307,4389508,2,73.45,1.2573347841185323,31946,21093,0.0,8.166130775014215,1.67,28.45,573,0.0,11.45991955592351,39.08490120829512,13.01,3.07,970,9.341129599055133,45.38257447443169,0.0,Country/Region,12069,3448,11.536075524928588,0,1.403347542631481,15879,n/a,5123,0.0,1759,14.14,n/a,90269,7522,51205,7481,53629,20324,91214,11963,18.78,6777,0.51,56.72,0.86,22.51,10.75,13.25,4.56,7.51,1.57,6.7,1873,14613,6.66,0,81.22
ENGLAND,95965,3842123,3,73.69,1.281792697337571,27481,18215,0.0,6.977861930460605,1.71,28.64,491,0.0,10.030832727486429,40.03671130099515,13.29,3.39,838,7.981884494940883,45.7490584900745,0.0,Country/Region,10390,3254,10.097491815498502,0,1.4375223854313635,14494,n/a,4485,0.0,1520,15.1,n/a,77349,6542,44206,6496,47142,17306,77750,10079,18.98,5758,0.51,57.15,0.87,22.37,10.83,13.03,4.67,7.44,1.58,6.82,1638,12758,6.77,0,81.02
GERMANY (FED REP GER),93506,3436702,4,79.36,1.0856298173379249,32601,14504,0.0,6.799061716976496,1.36,34.87,476,0.0,8.972378785431404,36.753812589566444,11.85,3.51,854,7.777357282175192,45.785129422710845,0.0,Country/Region,7032,3281,9.032004003335482,0,1.3196495573835403,13120,n/a,5207,0.0,417,14.03,n/a,77035,4113,39640,6142,53724,16114,79002,11845,15.51,9436,0.51,51.46,0.91,20.92,7.52,15.38,5.57,12.25,0.45,4.4,1270,11079,6.57,0,84.49
JAPAN,98113,2678740,5,80.4,0.8055700844944095,17067,17883,0.0,7.1340485341872695,0.85,17.4,971,0.0,6.99352750040199,27.30260006319244,8.39,5.17,1152,8.160544296901318,42.519631823509634,0.0,Country/Region,11837,5072,7.040002422058965,0,0.9803027645365903,27320,n/a,3234,0.0,130,27.85,n/a,79583,3016,38172,3923,52955,19089,80230,14241,18.23,8081,0.99,47.97,1.17,23.99,12.06,17.89,3.3,10.15,0.13,3.07,832,8232,4.0,0,81.77
FRANCE,63953,2356019,6,81.71,1.059360372461026,23233,11684,0.0,4.650187089446643,1.33,36.33,457,0.0,6.150982800857715,36.83985114068144,11.66,3.38,759,5.3192878560407895,46.78742433818586,0.0,Country/Region,5888,2160,6.191858659824,0,1.3227387807292852,12655,n/a,4464,0.0,235,19.79,n/a,52960,3066,27249,4580,33783,11257,52269,6016,18.27,8438,0.71,51.45,1.19,21.26,9.21,11.36,6.98,15.93,0.37,4.79,850,7460,7.16,0,81.73
CANADA,52320,2029344,7,76.67,1.2096434136085628,16821,8185,0.0,3.804321744403677,1.6,32.15,336,0.0,5.2981151854139545,38.78715596330275,12.78,2.51,650,4.351713611997155,46.780297910932724,0.0,Country/Region,4431,1315,5.333323381586428,0,1.3926569678833587,7636,n/a,2056,0.0,241,14.59,n/a,41704,2189,23574,2768,26161,8901,44135,6010,15.64,3219,0.64,56.53,1.24,21.34,8.47,14.41,3.93,7.72,0.46,4.18,839,6686,5.29,0,84.36
ITALY,47478,1663082,8,80.6,1.04769599814651,14901,7729,0.0,3.452247472874575,1.22,31.39,330,0.0,4.341895705601717,35.028476346939634,11.06,2.25,397,3.9489804829969595,46.706667309069466,0.0,Country/Region,3869,1070,4.3707494225205386,0,1.2577011757463494,11825,n/a,2916,0.0,201,24.91,n/a,38799,1965,20864,3133,22393,9211,39749,5501,16.28,3223,0.7,53.77,0.84,23.74,8.15,14.18,6.14,8.31,0.42,4.14,580,5253,6.6,0,83.72
