Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,3519908,23603604,n/a,67.69,0.9744876255856687,779464,1533760,n/a,100,1.13,22.14,795281,n/a,100,6.705744581960665,9.58,1.8,182685,n/a,39.00575450304383,0.61,,243866,63489,n/a,21487,1.0,1126078,n/a,286296,0.02,156804,31.99,n/a,2631462,769941,1210121,311928,14495,717823,1986148,408097,43.57,295421,22.59,45.99,5.19,27.28,6.93,15.51,8.13,11.23,4.45,21.87,39693,337120,8.86,694,56.43
Baseline for All Items,3344352,23465544,n/a,70.64,0.9924730347463425,779464,1496380,n/a,n/a,1.14,23.31,787198,n/a,n/a,7.01646955822832,9.87,1.9,180816,100,40.56403231193965,0.64,,219587,63489,100,21432,1.0463371326583997,1126078,n/a,283696,0.02,155484,33.67,n/a,2541565,759611,1158999,308779,14353,707419,1847972,401688,44.74,273459,23.54,45.6,5.41,27.83,6.57,15.8,8.48,10.76,4.65,22.71,38183,329926,9.23,692,55.26
CHINA MAINLAND,651017,7068383,1,83.79,1.202005537028987,166207,250337,92.71,18.495284535845823,1.69,25.53,172119,84.32,29.946202283346224,10.857447654976752,13.4,2.06,17683,19.466162652735118,49.287433757490206,1.23,Country/Region,27597,13392,30.12239136667788,8015,1.6191263359753838,260291,n/a,32365,0.04,11275,39.98,n/a,573584,130340,266908,32938,8430,168723,400680,86590,38.45,51363,26.44,46.53,2.72,29.42,4.24,15.1,4.97,8.95,1.73,20.02,11022,87240,5.06,228,61.55
USA,841720,6698509,2,67.55,1.2517288921494085,287021,377434,79.2,23.913125002130737,1.69,34.1,134528,67.68,28.37917887454814,7.958120277526969,12.62,3.22,43056,25.168403325965688,41.959393692676905,0.92,Country/Region,86487,27133,28.546148344142374,7760,1.1867616161425771,236891,n/a,85597,0.04,70551,28.14,n/a,679867,185520,382784,113363,3911,166530,464286,89342,44.84,41211,15.98,56.3,5.12,24.49,10.28,13.14,10.17,6.06,8.38,22.04,14234,106250,13.47,324,55.16
UNITED KINGDOM,256785,2518277,3,71.97,1.4725447911677083,144247,166096,64.99,7.295219079589581,2.18,56.17,47886,50.37,10.669035965863518,9.806947446307221,14.93,3.66,35921,7.6781690444068085,46.32300585431392,1.24,Country/Region,21122,9396,10.731807453515675,3191,1.4624695776050285,35208,n/a,50995,0.05,62380,13.71,n/a,199615,84574,112775,61167,816,52254,90689,23217,64.68,11369,18.65,56.5,13.99,26.18,8.23,11.63,19.86,5.7,24.29,32.94,5586,38327,23.82,136,35.32
ENGLAND,225580,2276817,4,72.13,1.51428596373792,126817,145611,63.33,6.408690227130936,2.28,56.22,41917,48.92,9.646056593730346,10.093168720631262,15.25,3.88,31824,6.745103386246424,46.61963399193191,1.31,Country/Region,18854,8754,9.702809361675143,2949,1.5051525743738008,32697,n/a,46066,0.06,52464,14.49,n/a,176076,74899,99938,53016,742,45801,79969,20291,64.55,10046,18.58,56.76,14.11,26.01,8.36,11.52,20.42,5.71,23.26,33.2,5143,34405,23.5,127,35.45
GERMANY (FED REP GER),197860,1819546,5,75.61,1.2786410704538562,107873,112530,68.23,5.62116964420661,1.75,54.52,43103,59.27,7.70876345832611,9.196128575760639,13.12,5.19,32332,5.916243266259054,46.385571986252906,1.06,Country/Region,13787,10268,7.754118123151119,2099,1.3713806816471112,35233,n/a,31307,0.05,13336,17.81,n/a,161130,65490,82059,23308,775,42969,85330,18944,56.87,17158,21.78,50.93,16.34,26.67,6.97,11.76,15.82,10.65,6.74,33.1,3472,25952,11.78,95,43.13
ITALY,151288,1497748,6,76.34,1.401646221775686,71722,81637,73.65,4.298066881293488,1.99,47.41,39406,64.61,6.345420809466215,9.899978848289356,14.47,2.6,10443,4.523686501899322,48.08872364496854,1.15,Country/Region,12161,3932,6.382754220400772,1746,1.476342966435316,40342,n/a,22451,0.05,7062,26.67,n/a,121810,51691,60693,19627,309,36260,69651,16692,53.96,8165,26.05,49.83,6.9,29.77,8.04,13.7,14.84,6.7,4.67,34.17,3011,21889,12.97,73,46.04
AUSTRALIA,126983,1370497,7,78.85,1.5017282707134028,73209,59523,65.05,3.6075658795627614,2.36,57.65,23840,57.59,5.8063039864590165,10.79275966074199,15.52,2.13,7138,3.796938838973888,50.02694530212706,1.5,Country/Region,10169,2710,5.840465492724141,1899,1.6094796825062399,24847,n/a,15129,0.07,11190,19.57,n/a,104050,34087,55674,18376,364,27265,67460,15136,46.87,5975,18.77,53.51,5.62,26.2,8.01,14.55,11.91,5.74,8.81,26.84,2991,19706,14.47,91,53.13
CANADA,136488,1278690,8,74.35,1.3823646437782078,74435,59594,66.15,3.8776013463988264,2.03,54.54,25119,57.04,5.41735067238037,9.3685159134869,13.67,3.22,7856,4.081149352699716,45.95272858419788,1.2,Country/Region,12188,4400,5.449223764000528,1640,1.3970880934966479,23826,n/a,13614,0.06,7463,17.46,n/a,110199,32203,60220,14431,2292,29372,76894,14218,43.66,6389,18.4,54.65,5.76,26.65,8.93,12.9,9.97,5.8,5.47,23.59,2772,18659,10.57,78,56.34
