Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1756776,43716023,n/a,65.59,0.9769902600559206,216180,268106,n/a,100,1.2,12.31,26001,n/a,100,24.88423282194201,9.82,1.81,16113,n/a,38.27082280928246,0.0,,122885,31848,n/a,0,1.0,357992,n/a,81771,0.0,15017,20.38,n/a,1236891,78423,592976,103107,611252,282953,1488670,190283,15.26,170679,1.48,47.94,0.92,22.88,6.99,15.38,4.65,13.8,0.85,4.46,21040,172543,5.87,0,84.74
Baseline for All Items,1531039,43220782,n/a,72.63,1.0347465198469796,216180,255979,n/a,n/a,1.27,14.12,24617,n/a,n/a,28.229706754694035,10.65,2.08,15617,100,42.106838507836834,0.0,,115990,31848,100,0,1.13444151389719,357992,n/a,80216,0.0,14655,23.38,n/a,1112634,75067,546832,99755,605581,267382,1275060,165222,16.72,133198,1.61,49.15,1.02,24.03,7.58,14.85,5.24,11.97,0.96,4.9,19456,163032,6.52,0,83.28
USA,522968,19536248,1,70.99,1.3702965307628767,96749,97474,0.0,29.76862161140635,1.96,18.5,6560,0.0,44.6889873765507,37.3564883511037,14.27,2.91,6654,34.157719039162295,45.269481233651014,0.0,Country/Region,43825,15202,45.201051660749684,0,1.5012111732921944,118828,n/a,27987,0.0,8194,22.72,n/a,395424,29935,242867,40435,316015,80822,425494,42022,18.64,29713,1.25,61.42,1.27,20.44,8.38,10.63,5.35,7.51,1.57,5.72,10240,74649,7.73,0,81.36
UNITED KINGDOM,136320,4935940,2,72.35,1.2700682078931926,41185,30690,0.0,7.759668847935081,1.78,30.21,1858,0.0,11.29091729135562,36.20848004694836,13.26,3.05,1720,8.903757513688417,45.23790533157277,0.0,Country/Region,14674,4155,11.420293135834516,0,1.4550772091724298,19852,n/a,8785,0.0,3565,14.56,n/a,101233,10987,55421,12438,54307,25006,105630,13327,22.51,7479,1.36,54.75,1.26,24.7,10.76,13.16,6.44,7.39,2.62,8.06,2427,18081,9.12,0,77.49
ENGLAND,116654,4315516,3,72.58,1.3001478286213932,35319,26461,0.0,6.640231879306184,1.85,30.28,1604,0.0,9.871703105289335,36.99415365096782,13.55,3.34,1390,7.619270312513267,45.57926447614312,0.0,Country/Region,12662,3891,9.984817026216694,0,1.4866503587101838,18137,n/a,7681,0.0,3062,15.55,n/a,87133,9510,48096,10805,47592,21372,90193,11313,22.68,6352,1.38,55.2,1.19,24.53,10.85,12.98,6.58,7.29,2.62,8.15,2159,15810,9.26,0,77.32
GERMANY (FED REP GER),110906,3958577,4,77.11,1.1450604025030207,40336,22309,0.0,6.313041617144133,1.5,36.37,1760,0.0,9.05520843009896,35.693082430166086,12.26,3.59,1170,7.243838987772355,45.60218241303447,0.0,Country/Region,9392,3980,9.158966628600103,0,1.4343653945679702,16741,n/a,9096,0.0,1029,15.09,n/a,88194,6480,44653,9987,52222,20700,88597,12575,20.12,10266,1.59,50.63,1.05,23.47,8.47,14.26,8.2,11.64,0.93,5.84,1665,13592,9.0,0,79.88
JAPAN,106683,2797709,5,78.64,0.8046892635190237,19805,21589,0.0,6.072658096422082,0.86,18.56,1584,0.0,6.399733571372675,26.224506247480853,8.1,4.79,1444,6.968013225006025,41.725457404647415,0.0,Country/Region,12902,5105,6.4730642772729095,0,1.0538603474388424,31529,n/a,5092,0.0,373,29.55,n/a,84119,4171,37595,5659,47633,23122,85094,14429,20.24,8973,1.48,44.69,1.35,27.49,12.09,17.15,4.77,10.67,0.35,3.91,917,8645,5.3,0,79.76
FRANCE,74544,2722021,6,80.63,1.2025171831401589,29106,17850,0.0,4.243227366494078,1.46,39.05,1328,0.0,6.226597968438254,36.515628353723976,12.37,3.51,847,4.868850499562715,47.49285929786435,0.0,Country/Region,7662,2618,6.29794481737975,0,1.4674202984279197,15112,n/a,8245,0.0,570,20.27,n/a,59318,4784,30963,8013,30048,13557,56694,6415,23.95,8383,1.78,52.2,1.14,22.85,10.28,10.81,11.06,14.13,0.76,6.42,1092,9218,10.75,0,76.05
CANADA,69858,2543622,7,76.17,1.2653509576569615,23225,13283,0.0,3.9764887498463097,1.61,33.25,1350,0.0,5.818511898943781,36.41132010650176,13.29,2.57,782,4.562783835029676,47.307772127744855,0.0,Country/Region,6462,1794,5.885182734546543,0,1.463228557900149,10451,n/a,3752,0.0,525,14.96,n/a,52943,4078,29533,4689,29097,11854,56575,7376,19.01,4180,1.93,55.78,1.12,22.39,9.25,13.93,5.37,7.9,0.75,5.84,1124,9281,6.71,0,80.99
ITALY,61340,2039123,8,77.53,1.0925756716661232,19677,12802,0.0,3.4916232917571732,1.37,32.08,918,0.0,4.664475082740258,33.242957287251386,11.21,2.24,597,4.006429620669363,45.78184259047929,0.0,Country/Region,5806,1375,4.717922503114359,0,1.3359044470094716,15240,n/a,5298,0.0,357,24.85,n/a,47397,3378,26010,5481,24025,11680,48538,6184,20.87,3523,1.5,54.88,0.97,24.64,9.47,13.05,8.64,7.43,0.58,5.51,841,6875,8.94,0,79.13
