Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,3101567,40248356,n/a,67.85,0.9695688853731034,591308,1013900,n/a,100,1.14,19.06,398138,n/a,100,12.976781091622396,9.75,2.07,95644,n/a,39.15264793863876,0.52,,241433,64223,n/a,15984,1.0,872452,n/a,347196,0.0,142723,28.13,n/a,2082515,424052,1004306,278685,119631,518235,2087667,303372,32.69,256602,12.84,48.23,3.08,24.89,7.78,14.57,11.19,12.32,4.6,13.67,35243,302557,8.99,0,67.31
Baseline for All Items,2897284,40000424,n/a,71.56,0.9961568696061553,591308,986824,n/a,n/a,1.17,20.41,392325,n/a,n/a,13.806179856720984,10.15,2.22,94538,100,41.103743533702605,0.55,,225995,64223,100,15942,1.063914059984724,872452,n/a,342011,0.0,141983,30.11,n/a,1984312,417435,945342,273966,118925,506225,1910460,296001,34.06,236744,13.54,47.64,3.26,25.51,7.8,14.92,11.8,11.93,4.9,14.41,33756,294069,9.46,0,65.94
USA,777408,13957664,1,69.73,1.3464848396208942,238000,300922,81.54,25.06500746235693,1.98,30.61,74820,65.93,34.678842534587,17.954103893965588,13.96,3.63,29760,26.83230225273049,44.020749980319216,0.97,Country/Region,95119,28229,34.893790125824665,7518,1.383556042688928,202418,n/a,89430,0.0,73056,26.04,n/a,571873,120783,343736,101223,57307,133228,476486,61941,38.71,32968,9.62,60.11,3.83,23.3,12.24,10.83,11.5,5.76,9.4,15.54,15431,108527,13.02,0,61.29
CHINA MAINLAND,437777,7911402,2,78.93,0.9874486809494332,99347,116945,92.2,14.114703954484941,1.25,22.69,64122,81.73,19.656460005472024,18.071762564045166,10.87,2.13,9478,15.109909832795129,45.21075405103512,0.79,Country/Region,24218,9338,19.77829535006929,3464,1.3926229036653788,148039,n/a,40679,0.0,7272,33.82,n/a,323664,57215,144048,19127,21047,86099,320832,53475,26.71,40042,14.65,44.51,2.17,26.6,5.53,16.52,9.29,12.37,1.66,13.07,5452,47607,4.37,0,73.29
UNITED KINGDOM,233157,4572612,3,71.62,1.4566356480826224,111604,124628,70.85,7.517393627156853,2.2,47.87,26709,50.85,11.360990744566065,19.611729435530567,15.46,3.91,20688,8.047433389339808,46.77343020797146,1.16,Country/Region,21905,9112,11.431408827066432,2709,1.5112938483790552,32689,n/a,50194,0.0,52675,14.02,n/a,165676,54147,99164,55326,12420,39442,108529,17266,53.45,9804,11.46,59.85,8.87,23.81,9.39,10.42,21.53,5.92,22.59,23.22,5141,36044,23.73,0,46.55
ENGLAND,203946,4094829,4,71.74,1.4886896712855364,97790,109308,69.23,6.575579376489368,2.28,47.95,23487,49.43,10.173903749012753,20.078005942749552,15.73,4.15,18398,7.039213276986309,47.027916787286834,1.22,Country/Region,19419,8454,10.236963988181726,2485,1.5472254483595778,30144,n/a,45123,0.0,44823,14.78,n/a,145617,48214,87653,48004,11115,34507,94638,14992,53.6,8465,11.52,60.19,9.02,23.7,9.52,10.3,22.12,5.81,21.98,23.64,4653,32075,23.54,0,46.4
GERMANY (FED REP GER),185058,3646691,5,76.2,1.3197262263722724,90892,73192,72.05,5.966596884736005,1.95,49.12,24303,60.28,9.060471935797825,19.705665250894313,13.99,5.45,9563,6.38729237451351,47.31343265030423,1.05,Country/Region,17005,10082,9.116630863712844,1938,1.5185326092628608,31340,n/a,31598,0.0,10748,16.94,n/a,138350,34480,75881,22321,12357,32643,111866,14397,39.55,15429,13.13,54.85,5.17,23.59,9.19,10.41,17.07,11.15,5.81,18.63,3612,25885,12.06,0,60.45
FRANCE,124491,2428468,6,77.33,1.2835345245841066,67447,55902,67.59,4.01380979356564,1.85,54.18,15389,57.47,6.033707314654045,19.5071772256629,13.35,5.57,5198,4.296817295094302,47.28733642271329,1.05,Country/Region,12826,6939,6.071105646280149,1304,1.5032369805680412,29335,n/a,29780,0.0,6451,23.56,n/a,93134,22399,52609,22489,7591,21808,68589,10246,44.9,8471,12.36,56.49,4.18,23.42,10.3,11.0,23.92,9.1,5.18,17.99,2299,16619,18.06,0,55.1
AUSTRALIA,110311,2398101,7,77.71,1.4333680122562573,52965,41081,72.59,3.556621540015096,2.17,48.01,12810,58.97,5.958258270225994,21.739454814116453,15.06,2.37,3619,3.8073934070667566,49.448765675227314,1.25,Country/Region,9993,2619,5.995188950997119,1379,1.6752578825692837,23105,n/a,15561,0.0,7841,20.95,n/a,83323,20187,44550,14659,5543,21844,69230,12357,37.24,4572,11.61,53.47,3.28,26.22,9.06,14.83,14.11,5.49,7.11,18.3,2393,16616,13.29,0,62.76
CANADA,118411,2388678,8,76.19,1.4007883811470219,57254,42889,70.28,3.817779851281626,2.11,48.35,13898,57.8,5.934846133839603,20.172771110792073,14.29,3.44,4245,4.086965585700263,47.54880575960004,1.13,Country/Region,12616,4075,5.9716317007039725,1341,1.5545281197519232,20395,n/a,14358,0.0,6900,17.22,n/a,88987,19560,50158,12130,6947,22350,75522,10621,36.22,5858,11.74,56.37,3.58,25.12,10.65,11.94,12.13,6.58,5.83,16.52,2499,16926,10.24,0,63.78
