Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1305817,32499192,n/a,65.28,0.9864659424712652,138646,145563,n/a,100,1.22,10.62,7019,n/a,100,24.88801417043889,9.89,1.83,9428,n/a,38.33118582511945,0.0,,81716,23961,n/a,0,1.0,223160,n/a,35270,0.0,3299,17.09,n/a,991575,37142,471916,47400,583499,220938,1160254,156548,11.15,142173,0.54,47.59,0.72,22.28,6.26,15.79,2.7,14.34,0.25,2.84,15924,129142,3.63,0,88.85
Baseline for All Items,1119747,32301840,n/a,73.63,1.057282015758917,138646,140968,n/a,n/a,1.31,12.38,6857,n/a,n/a,28.847445003201617,10.87,2.14,9313,100,42.89539666138869,0.0,,78496,23961,100,0,1.159089865734069,223160,n/a,34910,0.0,3265,19.93,n/a,878071,36178,434411,46302,580447,200539,978779,138823,12.59,104298,0.61,49.47,0.83,22.84,7.01,15.81,3.12,11.88,0.29,3.23,14660,121684,4.14,0,87.41
USA,421468,15772715,1,70.63,1.381660294969013,62987,56613,0.0,32.27619184005109,1.98,14.94,1782,0.0,48.532637365261266,37.423280059221575,14.31,2.88,4891,37.63957393947025,45.31755358319018,0.0,Country/Region,29782,12128,48.82915338568948,0,1.503666777226109,84167,n/a,14258,0.0,1459,19.97,n/a,331836,15312,203897,20158,323172,65716,364855,39184,13.43,23039,0.42,61.45,1.16,19.8,7.07,11.81,3.38,6.94,0.35,3.63,8335,60324,4.78,0,86.57
UNITED KINGDOM,112033,3667262,2,72.21,1.211808732248534,26514,17887,0.0,8.57953296671739,1.58,23.67,333,0.0,11.284163618590886,32.733765943962936,12.58,2.42,823,10.005206533261532,44.83663269483099,0.0,Country/Region,10901,2713,11.353105581601543,0,1.3152421772100626,15005,n/a,3607,0.0,864,13.39,n/a,88686,6388,46453,5830,53994,23058,94146,12302,15.97,6873,0.3,52.38,0.73,26.0,9.73,13.87,3.22,7.75,0.77,5.7,1766,14092,5.2,0,84.03
ENGLAND,95480,3196965,3,72.29,1.2372032666527022,22716,15475,0.0,7.311897455769071,1.63,23.79,268,0.0,9.837059949059658,33.48308546292417,12.84,2.67,696,8.526926171715575,45.06725204859657,0.0,Country/Region,9373,2549,9.897160657101885,0,1.3453498231568113,13655,n/a,3194,0.0,736,14.3,n/a,75875,5591,40105,5138,47737,19622,80005,10383,16.21,5765,0.28,52.86,0.73,25.86,9.82,13.68,3.35,7.6,0.77,5.86,1554,12256,5.38,0,83.79
GERMANY (FED REP GER),90581,2891579,4,78.05,1.0584570075402127,27168,11829,0.0,6.936730031849791,1.26,29.99,386,0.0,8.897387356584128,31.922577582495226,11.47,2.94,639,8.089416627148811,45.43087475077555,0.0,Country/Region,5844,2659,8.95174702122232,0,1.282648642189048,11595,n/a,4053,0.0,252,12.8,n/a,71417,2920,34123,4960,51232,15812,78752,12825,13.06,8657,0.43,47.78,0.71,22.14,6.45,17.96,4.47,12.12,0.28,3.22,1139,10391,5.48,0,86.94
JAPAN,89282,2327946,5,81.92,0.8202311865773616,13788,15042,0.0,6.837252080498263,0.84,15.44,855,0.0,7.163088854639832,26.07407988172308,8.43,5.39,965,7.973408278834415,43.90648837167626,0.0,Country/Region,10354,4813,7.206852612730421,0,1.047656100770505,23590,n/a,2271,0.0,66,26.42,n/a,71749,2351,34216,2868,49259,18832,74240,10927,16.85,7774,0.96,47.69,1.08,26.25,11.6,15.23,2.54,10.83,0.07,2.63,751,7523,3.21,0,83.15
FRANCE,63398,2030101,6,79.93,1.0159145225401434,20034,9336,0.0,4.855044772736149,1.24,31.6,257,0.0,6.24661991596591,32.0215306476545,10.99,3.06,587,5.6618146777798914,45.627764429477274,0.0,Country/Region,5219,1941,6.284784396183003,0,1.286624574719527,12031,n/a,3046,0.0,122,18.98,n/a,50931,2187,24356,3273,29084,10998,54062,8004,14.73,7573,0.41,47.82,0.93,21.59,8.23,15.72,4.8,14.87,0.19,3.45,783,6969,5.16,0,85.27
CANADA,49134,1760690,7,76.01,1.1928233626409412,13824,6887,0.0,3.7627018180954908,1.62,28.14,194,0.0,5.417642383232174,35.83445272112997,12.9,2.16,523,4.387955493517732,46.9823724589897,0.0,Country/Region,4140,1059,5.450742124906816,0,1.43982772091527,6757,n/a,1556,0.0,123,13.75,n/a,39235,1609,21677,2030,24200,9243,42247,5731,14.02,2584,0.39,55.25,1.06,23.56,8.43,14.61,3.17,6.59,0.25,3.27,796,6337,4.13,0,85.98
ITALY,42224,1306725,8,78.84,0.9959925421561198,12738,6185,0.0,3.2335311915835065,1.17,30.17,151,0.0,4.020792270773994,30.94744694960212,10.68,2.21,281,3.770851808488882,45.74783621636984,0.0,Country/Region,3257,932,4.0453577876678235,0,1.2434679093987504,9738,n/a,2179,0.0,94,23.06,n/a,33687,1398,17138,2496,18120,8346,36039,5069,14.65,3134,0.36,50.87,0.67,24.78,7.71,15.05,5.16,9.3,0.22,3.31,494,4510,5.91,0,85.35
