Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2300263,47568227,n/a,65.4,0.9708982191601568,334862,462551,n/a,100,1.19,14.56,81498,n/a,100,20.67947317328497,9.82,2.09,30797,n/a,38.418446404824145,0.0,,159954,48140,n/a,0,1.0,536367,n/a,145019,0.0,74195,23.32,n/a,1504734,145744,708023,190302,473765,354039,1837712,240598,20.11,202074,3.54,47.05,1.34,23.53,6.95,15.99,6.3,13.43,3.23,6.34,27383,225940,8.27,0,79.89
Baseline for All Items,2064534,47020026,n/a,70.76,1.0194819586405457,334862,445516,n/a,n/a,1.25,16.22,79374,n/a,n/a,22.775127946548714,10.5,2.33,30227,100,41.36450563226374,0.0,,151104,48140,100,0,1.1013398530853795,536367,n/a,140927,0.0,73495,25.98,n/a,1404474,141889,665803,184811,469587,339884,1619018,225797,21.58,172990,3.84,47.41,1.46,24.2,7.32,16.08,6.83,12.32,3.56,6.87,25749,216761,8.95,0,78.42
USA,617423,19613132,1,69.98,1.402324496657883,142009,175039,72.57,26.841409004100836,2.01,23.0,16645,62.76,41.231580903782685,31.76611820421332,14.37,3.54,10761,29.906167687235957,45.05367091977461,0.0,Country/Region,56059,21885,41.71229509741232,0,1.5361183497290816,147654,n/a,45793,0.0,57551,23.91,n/a,446099,56700,267870,91574,237146,98608,442384,51061,28.35,28560,2.7,60.05,1.74,22.1,9.08,11.45,7.42,6.4,9.32,9.18,12409,88705,14.83,0,71.65
UNITED KINGDOM,173282,5460887,2,71.35,1.373637044240025,62557,47460,64.06,7.533138601977251,1.92,36.1,5452,50.31,11.480114657205954,31.514450433397585,14.28,3.27,3556,8.393274220720027,46.06456522085387,0.0,Country/Region,16599,5663,11.61395997526671,0,1.5239484182851386,23527,n/a,16298,0.0,10643,13.58,n/a,117995,15897,65902,21853,40215,29976,125822,15023,27.39,7094,3.15,55.85,2.05,25.4,9.58,12.73,9.41,6.01,6.14,9.17,3330,24753,12.61,0,72.61
ENGLAND,148687,4815904,3,71.68,1.4027416922797555,53630,41038,62.45,6.46391303950896,1.98,36.07,4670,49.04,10.124203283843226,32.389543134235005,14.52,3.55,3118,7.201964220497216,46.40959948011595,0.0,Country/Region,14380,5283,10.242240189318483,0,1.5662653909422526,21517,n/a,14208,0.0,9067,14.47,n/a,101946,13870,57415,18870,35423,25735,107649,12810,27.6,5986,3.14,56.32,2.1,25.24,9.67,12.57,9.56,5.87,6.1,9.33,2942,21593,12.69,0,72.4
GERMANY (FED REP GER),144174,4270464,4,73.3,1.2074495630280078,59179,36505,67.51,6.267718082671417,1.68,41.05,5149,61.57,8.977555543535393,29.62020891422864,12.92,4.73,2944,6.983367675223562,44.90506663892241,0.0,Country/Region,12488,6823,9.082223816720134,0,1.4323483323788864,23589,n/a,15596,0.0,3653,16.36,n/a,107985,12177,55781,15924,42753,24533,107669,15180,25.32,12491,3.57,51.66,2.04,22.72,8.66,14.06,10.82,11.57,2.53,8.45,2416,18630,11.04,0,74.68
CHINA MAINLAND,208175,3892618,5,70.0,0.7688696817581362,34393,23491,89.43,9.050052102737817,0.87,16.52,6474,79.39,8.183231214398637,18.698777470877868,8.54,1.36,1688,10.083389278161562,39.592178860093675,0.0,Country/Region,8490,2823,8.278638552858308,0,0.904219237801189,58026,n/a,6060,0.0,1606,27.87,n/a,120653,7751,46416,6839,32040,30061,184684,27444,11.28,16732,3.11,38.47,0.81,24.92,4.08,22.75,2.91,13.87,0.77,3.72,1813,17787,3.29,0,88.72
CANADA,92088,3023663,6,75.25,1.3320160357484145,35317,21996,66.32,4.003368310493191,1.88,38.35,3159,57.05,6.356476141101496,32.83449526539832,14.06,2.86,1360,4.460473889022898,47.70648267309531,0.0,Country/Region,8722,2632,6.430585555184508,0,1.5877819995828504,14466,n/a,7023,0.0,2922,15.71,n/a,65798,7386,36336,8755,24518,15636,70092,9613,23.89,4213,3.43,55.22,1.48,23.76,9.47,14.61,7.63,6.4,3.17,8.02,1730,12950,9.51,0,76.11
FRANCE,99718,2982616,7,76.31,1.2115040574419864,43866,29539,64.81,4.335069511616715,1.64,43.99,4105,58.83,6.270185348720271,29.91050763152089,13.16,4.59,1782,4.830048814889945,46.720665392406595,0.0,Country/Region,9699,4581,6.343288708517515,0,1.4463863455748547,23029,n/a,15432,0.0,2148,23.09,n/a,74270,8243,40026,13953,25283,15743,70179,8563,29.62,9938,4.12,53.89,1.79,21.2,9.73,11.53,15.48,13.38,2.15,8.27,1639,13119,13.99,0,70.38
JAPAN,117839,2585744,8,74.99,0.8364524308590535,26385,29347,80.65,5.122848995962635,0.88,22.39,4434,76.38,5.435863733159531,21.943023956415107,8.42,5.6,1939,5.707777154554005,40.83184694455995,0.0,Country/Region,14676,6602,5.499239834533482,0,1.06110169115732,37439,n/a,8018,0.0,1583,31.77,n/a,90670,6723,38617,8298,32464,23274,88492,18625,24.9,10154,3.76,42.59,1.65,25.67,12.45,20.54,6.8,11.2,1.34,5.71,1032,9917,7.04,0,75.1
