Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1303788,28910110,n/a,62.32,0.9866200876216074,116625,130580,n/a,100,1.22,8.95,5133,n/a,100,22.173934719448255,9.84,1.64,10869,n/a,37.02895150323519,0.0,,69612,21421,n/a,0,1.0,138935,n/a,32084,0.0,2512,10.66,n/a,929200,34182,449085,44966,528960,191462,1173208,156893,10.02,131760,0.39,48.33,0.83,20.61,5.34,16.88,2.46,14.18,0.19,2.62,15947,128270,3.45,0,89.98
Baseline for All Items,1112784,28688064,n/a,70.57,1.0664391526118275,116625,126641,n/a,n/a,1.32,10.48,4979,n/a,n/a,25.780442565673123,10.92,1.92,10806,100,41.6644993299688,0.0,,66474,21421,100,0,1.1626462732868823,138935,n/a,31699,0.0,2473,12.49,n/a,835325,33706,418941,44382,523205,178684,986143,133263,11.38,104437,0.45,50.15,0.97,21.39,5.97,15.95,2.85,12.5,0.22,3.03,14708,121492,3.99,0,88.62
USA,430493,14386601,1,67.37,1.3701321893735787,53504,53064,0.0,33.01863493144591,1.94,12.43,1271,0.0,49.76321778090779,33.418896474507136,14.14,2.64,7880,38.68612417144747,43.63382077014028,0.0,Country/Region,24866,11374,50.148385753740655,0,1.5071252304714409,62917,n/a,13039,0.0,1140,14.62,n/a,319784,14602,198026,19047,293778,58952,377429,40028,12.33,22778,0.3,61.92,1.83,18.43,5.78,12.52,3.03,7.12,0.26,3.39,8353,60887,4.42,0,87.67
UNITED KINGDOM,108257,3192994,2,69.86,1.2536878917760514,21939,15144,0.0,8.303267095570753,1.62,20.27,277,0.0,11.044558460690741,29.49457309919913,12.84,2.01,538,9.728482796301888,43.773291012128546,0.0,Country/Region,9039,2171,11.130043491258245,0,1.3301461140015944,9674,n/a,2889,0.0,568,8.94,n/a,83656,5950,44463,5290,47753,20314,93113,11979,13.99,6900,0.26,53.15,0.5,24.28,8.35,14.32,2.67,8.25,0.52,5.5,1752,13903,4.89,0,86.01
ENGLAND,92102,2770610,3,69.86,1.2840652211678356,18819,13060,0.0,7.064185281656219,1.69,20.43,231,0.0,9.583533234567424,30.081974332804933,13.11,2.22,472,8.276718572517218,43.990999081453175,0.0,Country/Region,7706,2046,9.657709910295795,0,1.3566367319743535,8748,n/a,2563,0.0,495,9.5,n/a,71243,5186,38203,4651,41977,17106,79042,10142,14.18,5792,0.25,53.62,0.51,24.01,8.37,14.24,2.78,8.13,0.54,5.63,1552,12075,5.05,0,85.82
GERMANY (FED REP GER),87328,2421513,4,74.47,1.0332849361029681,22639,9708,0.0,6.698021457476215,1.19,25.92,363,0.0,8.37600756275227,27.72894146207402,10.94,2.52,504,7.847704496110655,43.32275483121107,0.0,Country/Region,4586,2205,8.440837973590689,0,1.250519667028405,7529,n/a,3407,0.0,182,8.62,n/a,67093,2535,31814,4255,39935,15043,77620,12186,11.12,8050,0.42,47.42,0.58,22.42,5.25,18.16,3.9,12.0,0.21,2.9,1040,9557,4.87,0,88.88
JAPAN,86456,1999464,5,78.6,0.8566345921624873,11403,13261,0.0,6.631139418371698,0.88,13.19,740,0.0,6.916141100812139,23.12695475154992,8.74,5.01,760,7.769342477965176,43.04436426274637,0.0,Country/Region,8996,4335,6.969672125661738,0,1.0429792927669168,12441,n/a,2031,0.0,53,14.39,n/a,68055,2115,32669,2765,44096,15625,73195,11254,15.34,8507,0.86,48.0,0.88,22.96,10.41,16.54,2.35,12.5,0.06,2.45,763,7559,3.2,0,84.66
FRANCE,61222,1809059,6,78.07,1.0173404919800073,17199,8212,0.0,4.695702061991674,1.27,28.09,184,0.0,6.25753067006663,29.54916533272353,10.97,2.78,513,5.501696645530489,45.09392225017151,0.0,Country/Region,4295,1702,6.305964041351832,0,1.3326081142832367,7122,n/a,2819,0.0,74,11.63,n/a,47735,2111,23241,3220,27766,10493,53010,7180,13.41,6821,0.3,48.69,0.84,21.98,7.02,15.04,4.6,14.29,0.12,3.45,776,6716,5.26,0,86.59
CANADA,50633,1623303,7,73.01,1.212614219975115,12321,6021,0.0,3.8835301444713406,1.64,24.33,177,0.0,5.6150011189857105,32.060178144688244,12.82,1.79,506,4.550119340321213,45.51273529911323,0.0,Country/Region,3444,904,5.658461302930724,0,1.4458497578496516,4082,n/a,1567,0.0,93,8.06,n/a,38819,1472,21046,1894,22299,9003,44612,5667,11.89,3103,0.35,54.22,1.0,23.19,6.8,14.6,3.09,7.99,0.18,2.91,832,6492,3.74,0,88.11
ITALY,40516,1058248,8,75.59,0.9634475022213448,10816,5155,0.0,3.107560431603911,1.06,26.7,69,0.0,3.6604772517295854,26.119261526310595,10.07,1.97,259,3.6409581733741683,43.60174326438938,0.0,Country/Region,2591,799,3.688809394736431,0,1.177926329123806,5788,n/a,1928,0.0,60,14.29,n/a,31555,1215,16672,2236,15657,6738,35361,4751,12.72,3394,0.17,52.83,0.64,21.35,6.4,15.06,4.76,10.76,0.15,3.0,428,4078,5.52,0,87.28
