Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1315380,31196874,n/a,64.66,0.9891087687968495,129901,140640,n/a,100,1.23,9.88,5532,n/a,100,23.71700497194727,9.99,1.76,11841,n/a,38.33371139389378,0.0,,76226,23102,n/a,0,1.0,209777,n/a,34945,0.0,3083,15.95,n/a,959441,35358,451482,47041,566481,213681,1174740,148319,10.69,145959,0.42,47.06,0.9,22.27,5.79,15.46,2.66,15.21,0.23,2.69,16137,131358,3.58,0,89.31
Baseline for All Items,1133708,31025532,n/a,72.69,1.0627896288109462,129901,137001,n/a,n/a,1.32,11.46,5395,n/a,n/a,27.366422394479002,11.0,2.04,11677,100,42.80932248568415,0.0,,73423,23102,100,0,1.1538734518480855,209777,n/a,34625,0.0,3048,18.5,n/a,851231,34938,420473,46506,563347,194417,996707,129244,12.08,107097,0.48,49.4,1.03,22.84,6.48,15.18,3.05,12.58,0.27,3.08,14966,124720,4.1,0,87.92
USA,428015,15590296,1,70.44,1.3927144100089952,59201,58601,0.0,32.53926621964756,1.97,13.83,1637,0.0,49.97390443670734,36.42464866885506,14.47,2.8,8180,37.75354853277916,45.54602180274056,0.0,Country/Region,27978,11996,50.249890960773854,0,1.5358030540508185,80571,n/a,14557,0.0,1450,18.82,n/a,319621,15521,192847,20806,317358,63077,369414,39531,13.69,24166,0.38,60.34,1.91,19.73,6.54,12.37,3.4,7.56,0.34,3.63,8419,61922,4.86,0,86.31
UNITED KINGDOM,111534,3536113,2,71.84,1.226491190130364,25047,16825,0.0,8.479222734114856,1.59,22.46,290,0.0,11.33483117571331,31.704350242975238,12.76,2.22,634,9.837982972687854,44.964307100077114,0.0,Country/Region,10259,2477,11.39742905939534,0,1.3367771470502068,14137,n/a,3436,0.0,713,12.68,n/a,87266,6301,47582,5642,51359,21364,94709,11269,15.09,7051,0.26,54.53,0.57,24.48,9.2,12.91,3.08,8.08,0.64,5.65,1776,14236,5.06,0,84.91
ENGLAND,94629,3065138,3,71.87,1.247343775164062,21367,14505,0.0,7.1940427861150384,1.62,22.58,232,0.0,9.825144660327185,32.39110632047258,13.01,2.41,541,8.346858273911801,45.25368452694206,0.0,Country/Region,8782,2285,9.879405129942654,0,1.3657334203363845,12762,n/a,3038,0.0,606,13.49,n/a,74140,5467,40895,4950,46262,17938,80124,9380,15.33,5927,0.25,55.16,0.57,24.19,9.28,12.65,3.21,7.99,0.64,5.78,1537,12309,5.23,0,84.67
GERMANY (FED REP GER),90990,2727525,4,77.24,1.0608859830750632,25222,10963,0.0,6.917392692605939,1.3,27.72,234,0.0,8.74294328335589,29.976096274315857,11.2,2.69,656,8.025876151531081,45.0195927486537,0.0,Country/Region,5291,2446,8.791227173799951,0,1.2639073234488043,11115,n/a,3863,0.0,217,12.22,n/a,69885,2736,34022,4782,47900,16290,80027,11395,12.05,8178,0.26,48.68,0.72,23.31,5.81,16.31,4.25,11.7,0.24,3.01,1186,10192,5.26,0,87.95
JAPAN,91076,2240246,5,80.5,0.8513015086301551,12945,14320,0.0,6.923930727242318,0.92,14.21,738,0.0,7.180995121498392,24.59754490754974,8.72,5.17,874,8.033461879072918,43.93541621393122,0.0,Country/Region,9922,4706,7.220652977038395,0,1.0371269448500762,22196,n/a,2151,0.0,67,24.37,n/a,69822,2192,33790,2786,47777,17974,76756,10335,15.72,7723,0.81,48.39,0.96,25.74,10.89,14.8,2.36,11.06,0.07,2.41,841,7946,3.06,0,84.28
FRANCE,63894,2030737,6,79.37,1.042545166995336,18740,8980,0.0,4.857455640195229,1.22,29.33,179,0.0,6.509424630172882,31.782906063167122,11.43,2.81,595,5.635842739047444,45.87190670015964,0.0,Country/Region,4918,1797,6.545373661924636,0,1.3400893620741863,11575,n/a,2960,0.0,95,18.12,n/a,49867,2170,23940,3288,28845,11245,54914,6823,14.05,7859,0.28,48.01,0.93,22.55,7.7,13.68,4.63,15.76,0.15,3.4,778,7302,5.15,0,85.95
CANADA,49353,1730758,7,76.15,1.2285300792251739,13295,6428,0.0,3.751995621037267,1.68,26.94,155,0.0,5.547857134660351,35.06895224201163,13.13,1.98,557,4.35323734153768,47.36751604157802,0.0,Country/Region,3713,976,5.578495801457974,0,1.4786416869875252,6330,n/a,1600,0.0,113,12.83,n/a,37820,1544,19587,2003,25367,9644,42925,5638,13.02,2951,0.31,51.79,1.13,25.5,7.52,14.91,3.24,7.8,0.23,3.13,827,6482,4.06,0,86.98
ITALY,42209,1234362,8,77.6,1.03886983107868,11795,5791,0.0,3.2088826042664476,1.25,27.94,104,0.0,3.9566848909284946,29.244047478026012,10.78,2.21,276,3.7230927187600336,45.13688680850056,0.0,Country/Region,2964,933,3.978536129533573,0,1.233041335219864,9406,n/a,2112,0.0,92,22.28,n/a,32926,1405,16658,2447,16585,8005,36418,4657,13.72,3606,0.25,50.59,0.65,24.31,7.02,14.14,5.0,10.95,0.22,3.33,526,4549,5.8,0,86.28
