Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2858052,44935906,n/a,68.31,0.9630518226050471,501575,801754,n/a,100,1.16,17.55,289367,n/a,100,15.7225641800779,9.7,2.04,74697,n/a,39.32167728900664,0.52,,190022,58373,n/a,14824,1.0,769207,n/a,282945,0.0,113504,26.91,n/a,1928864,335301,945054,247668,216308,446091,2056298,294000,28.05,243719,10.12,49.0,2.61,23.13,6.65,15.24,9.9,12.64,3.97,11.73,33079,277278,8.67,0,71.95
Baseline for All Items,2658496,44541435,n/a,72.19,0.9938858044172345,501575,784154,n/a,n/a,1.19,18.87,285134,n/a,n/a,16.754373525482077,10.13,2.2,73590,100,41.38843556341631,0.56,,181130,58373,100,14765,1.0656260221670193,769207,n/a,279051,0.0,112239,28.93,n/a,1839955,329974,898509,244300,214682,433657,1874342,284375,29.5,223414,10.73,48.83,2.77,23.57,6.81,15.46,10.5,12.14,4.22,12.41,31651,269303,9.19,0,70.5
USA,733275,16350031,1,70.13,1.339549370427193,205083,249387,74.83,25.656461114073505,1.99,27.97,54648,66.04,36.3852261040425,22.297270464696055,13.94,3.42,23135,27.58232474301259,44.337874752309844,1.0,Country/Region,65668,25099,36.707463511222755,7298,1.418170103127897,185554,n/a,73116,0.0,68903,25.3,n/a,542800,105561,331041,105936,105543,118347,483888,62524,34.01,30888,7.45,60.99,3.16,21.8,8.96,11.52,9.97,5.69,9.4,14.4,14609,102219,14.45,0,65.99
CHINA MAINLAND,360991,7172150,2,79.07,0.9063134571221997,74919,80113,89.61,12.630665922103587,1.14,20.75,39371,81.89,15.960844319017403,19.86794684632027,10.08,1.93,8871,13.578767844676086,44.539388782268816,0.71,Country/Region,17363,6951,16.102197874855175,2576,1.2636581806099412,115443,n/a,31086,0.0,4515,31.98,n/a,256102,36320,113897,14508,28879,63172,280878,48521,22.19,30512,10.91,44.47,2.46,24.67,4.81,18.95,8.61,11.91,1.25,10.06,4130,36388,4.02,0,77.81
UNITED KINGDOM,212784,4945769,3,71.16,1.4169022877659976,92639,86215,64.13,7.445070978414668,2.13,43.54,19023,51.51,11.006274136322077,23.243143281449733,14.96,3.58,12979,8.003924023207107,46.08070167070832,1.13,Country/Region,19135,7627,11.103748678056736,2397,1.4783303165587443,29919,n/a,32081,0.0,29196,14.06,n/a,150949,38231,90042,35078,19778,34343,126569,16882,40.52,9682,8.94,59.65,6.1,22.75,8.99,11.18,15.08,6.41,13.72,17.97,4532,31825,16.49,0,59.48
ENGLAND,185460,4396186,4,71.14,1.446711678529063,80569,75425,62.63,6.489035189002859,2.22,43.44,16571,50.13,9.783236594806835,23.704227326647256,15.23,3.81,11624,6.976124846529768,46.23874465652971,1.18,Country/Region,16972,7072,9.869879585154811,2180,1.5076565791146805,27561,n/a,28196,0.0,25093,14.86,n/a,132066,33772,79200,30258,17661,29935,110035,14617,40.67,8314,8.94,59.97,6.27,22.67,9.15,11.07,15.2,6.3,13.53,18.21,4117,28239,16.32,0,59.33
GERMANY (FED REP GER),171374,4083831,5,76.0,1.309251979880262,79320,58903,67.33,5.996182014882864,1.96,46.28,17680,61.77,9.08812431644307,23.829933362120276,13.88,5.11,6517,6.446276390861599,46.96096765670405,1.05,Country/Region,14742,8759,9.16861120437633,1802,1.515651842103163,29657,n/a,25587,0.0,7697,17.31,n/a,130199,26843,72588,19964,20009,28247,112471,14742,34.37,14622,10.32,55.75,3.8,21.7,8.6,11.32,14.93,11.23,4.49,15.66,3352,23784,11.65,0,65.63
FRANCE,117710,2708983,6,77.18,1.2842170325375923,59259,45567,65.02,4.11853948073723,1.85,50.34,11635,58.52,6.02854875119242,23.014042987001954,13.16,5.32,3685,4.427691446592359,47.27714187154873,1.01,Country/Region,11108,6266,6.08193921008607,1189,1.463758883310084,28967,n/a,23965,0.0,4286,24.61,n/a,87440,17376,49905,19139,11886,19066,72143,9696,38.71,8773,9.88,57.07,3.13,21.8,9.44,11.09,20.36,10.03,3.64,14.76,2178,15489,16.26,0,61.29
CANADA,112089,2670548,7,75.94,1.3804702504260007,49654,35306,66.72,3.921867061900903,2.05,44.3,10859,58.76,5.9430158145693115,23.825246009867158,13.98,3.28,3323,4.2162561087171095,47.33756038861976,1.09,Country/Region,10209,3680,5.995648770633457,1221,1.5153537131084627,19207,n/a,12052,0.0,5055,17.14,n/a,83645,16300,47590,10915,10316,19435,76783,10965,31.5,5655,9.69,56.9,2.96,23.24,9.11,13.11,10.75,6.76,4.51,14.54,2297,15669,9.74,0,68.5
AUSTRALIA,97546,2481455,8,78.48,1.3956165234863551,42460,32274,68.47,3.4130239757709098,2.09,43.53,9421,58.88,5.522209789205096,25.43881860865643,14.96,2.24,2610,3.669217482365969,49.881612140938635,1.2,Country/Region,7937,2188,5.571115973250524,1166,1.6179815402432907,20318,n/a,12331,0.0,5054,20.83,n/a,72786,15410,39068,12306,7211,18127,65272,9794,33.09,5797,9.66,53.68,2.68,24.9,8.14,13.46,12.64,7.96,5.18,15.8,2042,14594,12.62,0,66.91
