Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1535790,41960118,n/a,67.64,0.9951220171377597,196603,231876,n/a,100,1.21,12.8,15970,n/a,100,27.321520520383647,10.0,2.0,16342,n/a,39.151382006328994,0.0,,114642,30711,n/a,0,1.0,325166,n/a,67637,0.0,10164,21.17,n/a,1178199,64829,583036,84922,635582,257308,1303914,178168,15.1,159687,1.04,49.49,1.06,21.84,7.46,15.12,4.4,13.55,0.66,4.22,18623,153647,5.53,0,84.9
Baseline for All Items,1367979,41657867,n/a,73.64,1.0427450142875,196603,222893,n/a,n/a,1.27,14.37,15287,n/a,n/a,30.45212463056816,10.72,2.24,15912,100,42.36651646362993,0.0,,108653,30711,100,0,1.114583817099377,325166,n/a,66771,0.0,9856,23.77,n/a,1076657,62775,544874,83041,631102,243603,1145086,160845,16.29,127335,1.12,50.61,1.16,22.63,7.94,14.94,4.88,11.83,0.72,4.59,17403,146615,6.07,0,83.71
USA,490271,19341929,1,70.41,1.3501357649136905,88948,88921,0.0,31.923049375240105,1.92,18.14,4191,0.0,46.095983333507306,39.4515053919159,14.07,3.05,7802,35.839073553029685,44.606713783601315,0.0,Country/Region,42975,14960,46.430435336499585,0,1.4439718083216668,112951,n/a,24240,0.0,4964,23.04,n/a,391120,26242,249736,33953,334333,71521,401350,41690,18.14,28173,0.85,63.85,1.59,18.29,8.77,10.66,4.94,7.2,1.01,5.35,9402,68982,6.93,0,81.86
UNITED KINGDOM,119947,4716554,2,73.86,1.2733972879688529,37223,27355,0.0,7.810117268636989,1.73,31.03,1164,0.0,11.240564194790872,39.321983876211995,13.08,3.33,1585,8.76819015496583,45.68284585942125,0.0,Country/Region,13802,3991,11.322120741323602,0,1.4392311674921319,17849,n/a,7561,0.0,2847,14.88,n/a,97513,9805,53349,10804,56302,24022,92592,13177,22.81,6965,0.97,54.71,1.32,24.63,11.51,13.51,6.3,7.14,2.37,8.17,2070,15693,9.01,0,77.19
ENGLAND,102518,4128301,3,74.07,1.2925330127392263,31887,23584,0.0,6.675261591754081,1.79,31.1,993,0.0,9.838630577730978,40.26903568153885,13.44,3.67,1318,7.494120889282657,46.05283936772079,0.0,Country/Region,11830,3762,9.910015315954606,0,1.4738943848859185,16285,n/a,6675,0.0,2486,15.89,n/a,83568,8490,46140,9443,49572,20431,78934,11151,23.0,5846,0.97,55.21,1.29,24.45,11.54,13.34,6.51,7.0,2.42,8.28,1832,13774,9.21,0,77.0
GERMANY (FED REP GER),101912,3655197,4,77.72,1.1110155801083288,37302,18952,0.0,6.635803072034588,1.42,36.6,923,0.0,8.711121832402855,35.866208101106835,11.89,3.65,1163,7.449821963641255,45.24628212379308,0.0,Country/Region,8710,3724,8.774325867428594,0,1.312745682450151,15075,n/a,7366,0.0,772,14.79,n/a,85001,5237,43379,8156,53869,19009,82960,12208,18.6,10405,0.91,51.03,1.14,22.36,8.55,14.36,7.23,12.24,0.76,5.14,1444,12117,8.0,0,81.4
JAPAN,104016,2873191,5,79.15,0.8207161561682819,19418,20439,0.0,6.772800968882464,0.86,18.67,1186,0.0,6.847433079192008,27.6225869097062,8.33,5.01,1464,7.603625494251008,41.731412147169664,0.0,Country/Region,12759,5209,6.897115015514356,0,1.011019386314826,30531,n/a,4601,0.0,277,29.35,n/a,85318,3536,39392,5030,54245,22379,83577,13668,19.65,9879,1.14,46.17,1.41,26.23,12.27,16.02,4.42,11.58,0.27,3.4,894,8667,4.84,0,80.35
FRANCE,69130,2509267,6,80.82,1.0850392116302618,26584,15297,0.0,4.501266449189017,1.38,38.46,645,0.0,5.98012379278819,36.29780124403298,11.77,3.73,1026,5.0534401478385265,46.779102495298716,0.0,Country/Region,7020,2582,6.023512917740123,0,1.3285425024918522,14389,n/a,6609,0.0,456,20.81,n/a,57721,3889,30045,6606,31034,12556,53833,7196,22.13,7924,0.93,52.05,1.48,21.75,10.15,12.47,9.56,13.73,0.66,5.63,957,8139,9.56,0,77.87
CANADA,61233,2404811,7,75.81,1.2354397236784087,20521,11251,0.0,3.987068544527572,1.66,33.51,884,0.0,5.73118264348065,39.27312070288897,13.06,2.68,880,4.4761652042904165,46.44831460976924,0.0,Country/Region,5614,1640,5.77276556190455,0,1.4374427174940225,9379,n/a,3008,0.0,396,15.32,n/a,49316,3357,28338,3873,28631,9801,49982,6980,18.37,4197,1.44,57.46,1.44,19.87,9.17,14.15,4.91,8.51,0.65,5.48,1014,7999,6.33,0,81.63
ITALY,56233,1873625,8,78.88,1.0206818131702027,17806,11089,0.0,3.661503200307334,1.16,31.66,491,0.0,4.4652519804639255,33.31895861860473,10.82,2.3,657,4.110662517480166,45.919609620685364,0.0,Country/Region,5229,1291,4.497649867670853,0,1.2195133354216725,14622,n/a,4490,0.0,305,26.0,n/a,46638,2789,25392,4712,21728,11121,45144,6340,19.72,3785,0.87,54.44,1.17,23.85,9.3,13.59,7.98,8.12,0.54,4.96,654,6085,8.38,0,80.28
