Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2153793,46852062,n/a,65.76,0.9654173904827438,306410,405580,n/a,100,1.18,14.23,65190,n/a,100,21.75327991130067,9.82,2.13,25758,n/a,38.402287407285655,0.0,,144633,45793,n/a,0,1.0,494462,n/a,128031,0.0,60455,22.96,n/a,1400068,123526,656556,169999,525775,318361,1748213,234245,18.83,190906,3.03,46.89,1.2,22.74,6.72,16.73,5.94,13.64,2.81,5.74,25481,211421,7.89,0,81.17
Baseline for All Items,1922439,46331650,n/a,71.4,1.0137483167996488,306410,390043,n/a,n/a,1.24,15.94,63209,n/a,n/a,24.10045260213718,10.5,2.38,25197,100,41.47387457443383,0.0,,136836,45793,100,0,1.1078997144525857,494462,n/a,124721,0.0,59550,25.72,n/a,1300012,119911,614846,164801,521286,307693,1532396,219927,20.29,157546,3.29,47.3,1.31,23.67,7.12,16.92,6.49,12.12,3.1,6.24,23807,201952,8.57,0,79.71
USA,587775,19715141,1,70.94,1.3831116340436391,130870,151971,73.04,27.29022705524626,2.01,22.27,13404,62.98,42.07955884631075,33.5419863042831,14.39,3.59,9459,30.57444215395131,45.41225904895581,0.0,Country/Region,51044,21122,42.55220999036296,0,1.541927766343791,141208,n/a,40445,0.0,46120,24.02,n/a,428621,46679,256144,78064,267640,88131,435804,55787,25.86,28559,2.28,59.76,1.61,20.56,8.68,13.02,6.88,6.66,7.85,7.94,11810,84564,13.28,0,74.14
UNITED KINGDOM,163526,5250291,2,71.74,1.306368595819625,57816,42511,65.21,7.592465942641656,1.84,35.36,4573,51.21,11.206104439971073,32.10676589655468,14.06,3.25,2917,8.506173667929126,45.85241365837849,0.0,Country/Region,15143,5313,11.331975010602903,0,1.4759505705562794,22371,n/a,14472,0.0,8955,13.68,n/a,112321,14261,59807,19878,43270,28586,121015,15557,26.0,8371,2.8,53.25,1.78,25.45,9.26,13.85,8.85,7.45,5.48,8.72,3016,22998,12.16,0,74.0
ENGLAND,140200,4581151,3,72.02,1.3333617253922967,49727,36900,63.57,6.509446358122624,1.9,35.47,3994,49.99,9.77790689340418,32.675827389443654,14.34,3.51,2552,7.292819173976392,46.17743982738945,0.0,Country/Region,13110,4928,9.887735489670668,0,1.502110372444056,20470,n/a,12638,0.0,7596,14.6,n/a,96919,12545,52045,17244,38254,24534,103300,13315,26.32,7025,2.85,53.7,1.82,25.31,9.35,13.74,9.01,7.25,5.42,8.95,2658,20101,12.3,0,73.68
GERMANY (FED REP GER),135698,4243290,4,73.64,1.2329588188477356,53794,31940,67.73,6.300419771073636,1.6,39.64,4116,62.01,9.05678388285237,31.2700997803947,12.96,4.38,2459,7.05863749122859,44.8084759686952,0.0,Country/Region,11054,5944,9.158512593443142,0,1.4374889629471512,22459,n/a,13710,0.0,2882,16.55,n/a,100884,10414,49650,14311,45014,22729,103758,14699,23.54,13806,3.03,49.21,1.81,22.53,8.15,14.57,10.1,13.69,2.12,7.67,2175,17592,10.55,0,76.46
CHINA MAINLAND,175984,3327653,5,70.55,0.7521265700290937,28728,18917,89.18,8.170887360113067,0.8,16.32,5000,79.05,7.1024686170696185,18.908838303482135,8.32,1.32,1706,9.154204632760779,39.491550301731976,0.0,Country/Region,6736,2316,7.182245829794535,0,0.8692407940587907,47992,n/a,4833,0.0,1096,27.27,n/a,102044,5945,37438,5475,29086,26478,157067,22211,10.75,15917,2.84,36.69,0.97,25.95,3.83,21.77,2.75,15.6,0.62,3.38,1415,14635,3.11,0,89.25
FRANCE,93993,2936596,6,77.51,1.2054138361367337,40457,26232,65.53,4.36406841325977,1.61,43.04,3138,59.75,6.267805246223741,31.242709563478133,12.88,4.52,1325,4.889257864618851,46.621270395667764,0.0,Country/Region,8940,4247,6.338207251414529,0,1.436229832506673,21637,n/a,13672,0.0,1711,23.02,n/a,68789,7161,35551,12829,26567,15526,67761,8604,27.91,9108,3.34,51.68,1.41,22.57,9.51,12.51,14.55,13.24,1.82,7.62,1517,12103,13.65,0,72.09
CANADA,87489,2895414,7,75.56,1.3258088513984616,32553,19560,67.03,4.062089532280957,1.87,37.21,2748,57.18,6.179907300558084,33.09460617906251,13.81,2.84,1131,4.550937637032956,47.54880107670679,0.0,Country/Region,7765,2487,6.249322007742008,0,1.521361666562756,13776,n/a,6295,0.0,2254,15.75,n/a,62278,6539,34371,7916,26281,13391,67929,9643,22.36,4873,3.14,55.19,1.29,21.5,8.88,15.48,7.2,7.82,2.58,7.47,1636,12080,9.05,0,77.64
JAPAN,114869,2637175,8,76.29,0.8389081632120068,25165,27684,81.45,5.333335190522023,0.85,21.91,3424,77.41,5.628727717469511,22.95810880220077,8.35,5.73,1902,5.975170083420072,41.04476635819934,0.0,Country/Region,14839,6584,5.691951398234252,0,1.0553860795159538,36629,n/a,7241,0.0,1253,31.89,n/a,87784,5713,36818,7519,39678,23045,87185,17707,24.1,10214,2.98,41.94,1.66,26.25,12.92,20.17,6.3,11.64,1.09,4.97,981,9594,6.55,0,75.9
