Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1329727,36617937,n/a,67.3,0.9902015209136913,155374,170307,n/a,100,1.23,11.68,8586,n/a,100,27.537935982348255,10.0,1.98,11519,n/a,39.19635142040434,0.0,,90396,26368,n/a,0,1.0,244232,n/a,44608,0.0,5529,18.37,n/a,1004071,45230,477218,59806,617652,227116,1159420,158104,12.81,141633,0.65,47.53,0.87,22.62,6.8,15.75,3.35,14.11,0.42,3.4,16421,132928,4.5,0,87.19
Baseline for All Items,1158650,36396593,n/a,74.89,1.0569672499029044,155374,165578,n/a,n/a,1.32,13.41,8322,n/a,n/a,31.41293142881802,10.9,2.28,11432,100,43.339833294092266,0.0,,86755,26368,100,0,1.1407148106144784,244232,n/a,44136,0.0,5424,21.08,n/a,905497,44606,444637,59069,613378,213915,993072,140842,14.29,106103,0.72,49.1,0.99,23.62,7.49,15.55,3.81,11.72,0.47,3.85,15249,126242,5.1,0,85.71
USA,426753,17568487,1,71.68,1.3730269743856518,70822,66915,0.0,32.093279297179045,1.96,16.6,2241,0.0,47.97781753789133,41.16781135692075,14.27,3.06,6035,36.831916454494454,45.633571464992635,0.0,Country/Region,33687,13064,48.26959215660653,0,1.494949054399328,89709,n/a,16910,0.0,2229,21.02,n/a,334912,19089,202612,24952,333442,69070,359838,40504,15.68,22726,0.53,60.5,1.41,20.62,7.89,12.09,3.96,6.79,0.52,4.47,8380,60917,5.85,0,84.32
UNITED KINGDOM,112426,4115376,2,73.29,1.249101194563535,29705,20564,0.0,8.454818169443804,1.64,26.42,493,0.0,11.23868884257461,36.605198085852024,12.72,2.87,996,9.703189056229231,45.19924620372512,0.0,Country/Region,11889,3231,11.307036348154895,0,1.3292644049036886,15561,n/a,4963,0.0,1729,13.84,n/a,89923,7170,49880,7186,53149,21719,91862,10816,18.29,7508,0.44,55.47,0.89,24.15,10.57,12.03,4.41,8.35,1.54,6.38,1843,14306,6.39,0,81.71
ENGLAND,95784,3568133,3,73.45,1.2671843606447841,25434,17770,0.0,7.2032830799103875,1.68,26.55,426,0.0,9.744221800370676,37.25186878810657,12.94,3.15,868,8.26686229663833,45.47279119894763,0.0,Country/Region,10220,3015,9.803480781841312,0,1.3527473087302158,14121,n/a,4399,0.0,1508,14.74,n/a,76758,6251,43012,6256,45992,18306,78014,9153,18.55,6287,0.44,56.04,0.91,23.85,10.67,11.92,4.59,8.19,1.57,6.53,1611,12397,6.53,0,81.45
GERMANY (FED REP GER),91613,3303671,4,79.67,1.0796383002412322,30232,14126,0.0,6.8896096717596915,1.36,33.0,421,0.0,9.022001976790774,36.06115944243721,11.64,3.49,881,7.90687437966599,46.07511131935424,0.0,Country/Region,6859,3195,9.076868815715802,0,1.3095084346754353,12275,n/a,5024,0.0,410,13.4,n/a,74572,3766,36741,5965,57918,17825,77487,10957,15.42,9049,0.46,49.27,0.96,23.9,7.49,14.69,5.48,12.13,0.45,4.11,1250,10660,6.51,0,84.58
JAPAN,94889,2661115,5,81.5,0.8392965759993255,15807,16896,0.0,7.1359760311703075,0.91,16.66,848,0.0,7.267244465465109,28.044504631727598,8.47,5.16,1140,8.189617226945153,43.705993482911616,0.0,Country/Region,11194,4896,7.311439837239711,0,1.018395302019151,25285,n/a,2854,0.0,116,26.65,n/a,75363,2951,34394,3714,52870,20948,77993,12129,17.81,7892,0.89,45.64,1.2,27.8,11.8,16.09,3.01,10.47,0.12,3.11,865,8035,3.91,0,82.19
FRANCE,63045,2297254,6,81.78,1.0486826266952178,21909,11558,0.0,4.741198757338912,1.26,34.75,372,0.0,6.273575706900146,36.438321833610914,11.51,3.37,825,5.441246277995943,47.03833155365216,0.0,Country/Region,5850,2127,6.311728133454689,0,1.3232045370781522,12101,n/a,4226,0.0,229,19.19,n/a,51893,3066,25164,4511,29383,11733,51487,7738,18.33,7258,0.59,48.49,1.31,22.61,9.28,14.91,6.7,13.99,0.36,4.86,797,7257,7.16,0,81.67
CANADA,49807,1965740,7,77.07,1.2073232417130124,15375,7793,0.0,3.745656063237041,1.65,30.87,262,0.0,5.3682434376354955,39.467143172646416,12.9,2.42,683,4.298709705260433,47.42062457084346,0.0,Country/Region,4337,1204,5.400890132765998,0,1.4331917685459343,7090,n/a,1910,0.0,182,14.23,n/a,39969,1998,22172,2511,23328,9477,42014,5286,15.65,3034,0.53,55.47,1.37,23.71,8.71,13.23,3.83,7.59,0.37,4.01,822,6426,5.04,0,84.35
ITALY,45058,1480364,8,81.04,1.0177734098273337,13994,7636,0.0,3.3885150861793436,1.24,31.06,211,0.0,4.042729113876622,32.85463180789205,10.72,2.27,394,3.8888361455141762,46.84856361356475,0.0,Country/Region,3945,1025,4.067314762126224,0,1.1930680581490123,10744,n/a,2906,0.0,178,23.84,n/a,37093,1797,18883,3086,20455,9618,37422,5096,16.95,3496,0.47,50.91,0.87,25.93,8.76,13.74,6.45,9.42,0.4,3.99,560,4828,6.85,0,83.05
