Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2020623,46017477,n/a,65.58,0.9738838478528653,283621,338687,n/a,100,1.22,14.04,44541,n/a,100,22.773905374728486,9.81,2.15,19802,n/a,38.42939197356459,0.0,,132762,43484,n/a,0,1.0,454723,n/a,105509,0.0,33831,22.5,n/a,1357267,99730,645590,141582,553783,315793,1681936,200236,16.76,195648,2.2,47.57,0.98,23.27,6.57,14.75,5.22,14.41,1.67,4.94,24576,198261,7.01,0,83.24
Baseline for All Items,1796220,45421435,n/a,71.36,1.0224561945641404,283621,323762,n/a,n/a,1.27,15.79,42809,n/a,n/a,25.287233746423045,10.48,2.42,19242,100,41.57879008495618,0.0,,125061,43484,100,0,1.1103600076640137,454723,n/a,103022,0.0,32683,25.32,n/a,1249181,95723,604574,136650,549235,299441,1472458,188668,18.02,156498,2.38,48.4,1.07,23.97,6.96,15.1,5.74,12.53,1.82,5.33,22813,188324,7.61,0,81.98
USA,569275,19627040,1,70.51,1.3825763182995916,122452,123984,0.0,28.173241619045214,1.98,21.51,9982,0.0,42.65127355852212,34.477256159149796,14.18,3.5,7851,31.692944071438912,45.10928922945852,0.0,Country/Region,48109,19905,43.21096416262498,0,1.5138930100854886,134578,n/a,34691,0.0,23193,23.64,n/a,421261,36765,253682,58042,281845,87136,445291,48207,21.78,32236,1.75,60.22,1.38,20.68,8.45,11.44,6.09,7.65,4.07,6.46,11294,80726,10.2,0,78.22
UNITED KINGDOM,159436,5308084,2,72.18,1.3294820228806545,54001,38109,0.0,7.890437751129231,1.84,33.87,3229,0.0,11.534930522157918,33.292882410497,13.6,3.16,2271,8.87619556624467,45.73404383639831,0.0,Country/Region,14267,5041,11.68629744965125,0,1.4618872724149063,22357,n/a,11964,0.0,6135,14.02,n/a,111648,13466,60999,18342,46935,27179,121327,14987,23.9,8483,2.03,54.64,1.42,24.34,8.95,13.42,7.5,7.6,3.85,8.45,2941,21686,11.5,0,76.1
ENGLAND,136576,4641714,3,72.41,1.3633119757497658,46373,33108,0.0,6.759103504216274,1.9,33.95,2810,0.0,10.086850263433607,33.98630798969072,13.86,3.43,1957,7.603522953758449,46.04437629598173,0.0,Country/Region,12263,4691,10.219214782624107,0,1.492335523067743,20393,n/a,10519,0.0,5282,14.93,n/a,96244,11795,53075,16078,42005,23203,103468,12778,24.24,7188,2.06,55.15,1.43,24.11,8.98,13.28,7.7,7.47,3.87,8.64,2594,18925,11.77,0,75.76
GERMANY (FED REP GER),129403,4167563,4,73.71,1.192347743097146,51434,27146,0.0,6.404113978708546,1.61,39.75,2920,0.0,9.056478693953604,32.20607713886077,12.57,4.33,1449,7.204184342675174,44.60973104951199,0.0,Country/Region,9996,5608,9.175322179935531,0,1.4141657572090767,20333,n/a,11619,0.0,1757,15.71,n/a,99281,8363,49106,12781,46528,23284,102257,11603,20.98,15288,2.26,49.46,1.12,23.45,7.72,11.69,8.98,15.4,1.36,6.46,2089,16268,9.88,0,79.02
FRANCE,86978,2825889,5,77.83,1.2086399894226127,37188,22324,0.0,4.304514003849308,1.61,42.76,2333,0.0,6.140903813566311,32.48969854445952,12.8,4.4,1067,4.8422798988987985,46.940924439513445,0.0,Country/Region,7977,3826,6.221487718298641,0,1.4266195459173356,19436,n/a,11155,0.0,1113,22.35,n/a,64879,6358,34276,10947,27742,14453,64654,7258,25.67,8892,2.68,52.83,1.23,22.28,9.17,11.19,12.83,13.71,1.28,7.31,1400,11137,12.59,0,74.33
CHINA MAINLAND,147003,2810694,6,71.34,0.7282096902784296,24264,13077,0.0,7.275132471519923,0.75,16.51,2371,0.0,6.107883750341202,19.119977143323606,8.09,1.32,810,8.184019774860541,39.12493972912118,0.0,Country/Region,5463,1940,6.18803434986147,0,0.8395563619290553,40908,n/a,3768,0.0,499,27.83,n/a,86812,3003,31300,4433,26809,23410,133926,18900,8.9,13202,1.61,36.05,0.55,26.97,3.72,21.77,2.56,15.21,0.34,2.04,1105,11888,3.02,0,91.1
JAPAN,115308,2753291,7,75.64,0.8335703359697506,24218,24327,0.0,5.706556839153073,0.92,21.0,2458,0.0,5.9831420136310385,23.877710132861555,8.36,5.89,1397,6.419480909910813,40.827964457799986,0.0,Country/Region,13491,6789,6.061655691855618,0,1.0484679610269185,36698,n/a,6419,0.0,680,31.83,n/a,86312,4666,37362,6981,48883,23697,90981,14981,21.1,10272,2.13,43.29,1.21,27.46,11.7,17.36,5.57,11.9,0.59,4.05,1060,9635,6.05,0,78.9
CANADA,82364,2750474,8,75.1,1.2860174991501143,30207,16923,0.0,4.076168587608872,1.81,36.68,2003,0.0,5.977020426391477,33.39412850274392,13.52,2.82,987,4.585407132756567,47.16444540211744,0.0,Country/Region,7357,2320,6.055453774192735,0,1.466332978611581,12851,n/a,5028,0.0,1187,15.6,n/a,59376,5568,32728,6576,26699,13619,65441,8595,20.55,4434,2.43,55.12,1.2,22.94,8.93,14.48,6.1,7.47,1.44,6.76,1491,11132,7.98,0,79.45
ITALY,75417,2184568,9,75.07,1.1057953140538606,26301,16289,0.0,3.7323637313838356,1.5,34.87,2026,0.0,4.747257221424808,28.966519484996752,11.52,2.55,672,4.198650499382035,44.862230262407685,0.0,Country/Region,6341,1920,4.809553022708331,0,1.271917091441858,18851,n/a,6807,0.0,737,25.0,n/a,57006,4774,30531,7250,21713,14023,59128,7757,21.6,4695,2.69,53.56,0.89,24.6,8.41,13.61,9.03,8.24,0.98,6.33,1131,8688,9.61,0,78.4
AUSTRALIA,54154,1823440,10,78.2,1.2617788935258707,18644,11282,0.0,2.6800645147560926,1.75,34.43,975,0.0,3.9624945105095613,33.67138161539314,13.08,2.43,517,3.014886817873089,48.464029792813086,0.0,Country/Region,4430,1315,4.01449227660905,0,1.4785071361874214,9798,n/a,3495,0.0,884,18.09,n/a,35985,4098,18535,5360,13832,9170,42872,5388,20.83,2892,1.8,51.51,0.95,25.48,8.18,14.97,6.45,8.04,1.63,7.57,948,7084,9.9,0,79.17
NETHERLANDS,41840,1791845,11,77.87,1.5152950406309753,18616,12801,0.0,2.070648507910679,2.44,44.49,1027,0.0,3.893835813727901,42.826123326959845,16.39,5.63,1419,2.329336050149759,51.099092258604216,0.0,Country/Region,4449,2356,3.9449326072591058,0,1.8804909664059068,7015,n/a,4636,0.0,560,16.77,n/a,32727,5528,19376,5906,17828,7634,29039,3958,30.6,1759,2.45,59.2,3.39,23.33,10.63,12.09,11.08,5.37,1.34,13.21,1022,6857,14.12,0,69.4
SPAIN,61395,1684939,12,73.83,1.003691522110921,19760,12584,0.0,3.038419338986045,1.28,32.19,1756,0.0,3.6615197308622545,27.444238130140892,10.28,2.0,479,3.418011156762535,43.39213702255884,0.0,Country/Region,4441,1230,3.7095679605895318,0,1.2050738632028801,11829,n/a,5530,0.0,1043,19.27,n/a,42561,3941,22340,5908,12569,10810,48811,5553,20.5,3858,2.86,52.49,0.78,25.4,7.23,13.05,9.01,9.06,1.7,6.42,787,6309,9.62,0,79.5
SWITZERLAND,29790,1310747,13,78.21,1.5904492514266533,16525,9398,0.0,1.474297778457436,2.65,55.47,906,0.0,2.848367805996839,43.99956361195032,16.67,6.75,335,1.6584828139092096,50.82722169855657,0.0,Country/Region,2860,2012,2.885745463568027,0,1.9320166167360697,2619,n/a,4286,0.0,1260,8.79,n/a,23507,4008,13740,5297,14001,4970,20392,3061,31.55,1736,3.04,58.45,1.12,21.14,9.6,13.02,14.39,7.39,4.23,13.45,788,4965,17.78,0,68.45
SWEDEN,26375,1044487,14,81.4,1.2772098426540284,12877,6067,0.0,1.3052904970397743,1.86,48.82,715,0.0,2.2697615516817664,39.601402843601896,13.93,5.85,298,1.4683613365846055,50.78075529478673,0.0,Country/Region,2577,1543,2.2995464586268577,0,1.738893799372082,3932,n/a,1984,0.0,317,14.91,n/a,21219,1920,11558,2477,11597,5366,20308,2875,23.0,1420,2.71,54.47,1.13,25.29,9.77,13.55,7.52,6.69,1.2,7.28,490,3675,9.39,0,77.0
INDIA,44855,973735,15,81.04,0.7513148634488909,8116,5623,0.0,2.2198599144917184,0.93,18.09,957,0.0,2.116011271109018,21.708505183368633,8.09,1.14,254,2.497188540379241,41.900502383234866,0.0,Country/Region,1890,512,2.143778592640237,0,0.9532183798154314,8879,n/a,2123,0.0,469,19.79,n/a,33201,1325,10320,2522,7372,9281,39232,6362,12.54,7238,2.13,31.08,0.57,27.95,4.21,19.16,4.73,21.8,1.05,2.95,415,3629,5.62,0,87.46
SOUTH KOREA,49657,970756,16,72.74,0.7762263628491451,10669,6874,0.0,2.457509391905368,0.74,21.49,1107,0.0,2.109537643708715,19.549227702035967,7.97,4.76,337,2.76452773045618,39.68286761584469,0.0,Country/Region,3141,2364,2.1372200151756546,0,0.8584047127783869,16121,n/a,2203,0.0,221,32.46,n/a,32085,1820,13805,2289,15798,9735,42783,5571,13.84,2974,2.23,43.03,0.68,30.34,6.33,17.36,4.44,9.27,0.45,3.67,369,3960,4.61,0,86.16
BELGIUM,22921,853183,17,78.45,1.4598898346494482,11729,5676,0.0,1.134353117825542,2.23,51.17,506,0.0,1.8540412374194264,37.222765149862575,15.12,6.01,301,1.2760686330182271,49.55376181667467,0.0,Country/Region,2088,1377,1.8783708616867785,0,1.6344480464544107,2680,n/a,1955,0.0,520,11.69,n/a,17882,2147,9934,2781,9490,4085,17245,2160,24.76,1703,2.21,55.55,1.31,22.84,9.11,12.08,8.53,9.52,2.27,9.37,511,3465,12.13,0,75.24
SCOTLAND,19780,726852,18,74.45,1.2928726794742165,7082,5189,0.0,0.9789060106709664,1.98,35.8,442,0.0,1.579512931575975,36.74681496461072,13.88,2.56,339,1.1012014118537818,47.261403933265925,0.0,Country/Region,2015,506,1.6002400628689957,0,1.6135491194842475,3910,n/a,1642,0.0,1007,19.77,n/a,14098,1872,7764,2393,5126,3496,14591,1792,26.23,1046,2.23,55.07,1.71,24.8,10.19,12.71,8.3,7.42,5.09,9.46,392,2746,12.1,0,73.77
BRAZIL,35524,707716,19,76.56,0.7374647505911497,8391,11584,0.0,1.7580716442404152,0.81,23.62,7340,0.0,1.5379287308602339,19.92219344668393,7.03,1.1,493,1.9777087439177827,39.2856691729535,0.0,Country/Region,1473,391,1.5581101741941883,0,0.8747816028423033,10459,n/a,5035,0.0,208,29.44,n/a,24405,5725,9127,2278,3885,6094,23940,5411,32.61,3773,20.66,37.4,1.39,24.97,4.15,22.17,14.17,15.46,0.59,16.12,289,2496,6.41,0,67.39
DENMARK,14938,672297,20,79.72,1.5675014325880305,7524,3801,0.0,0.739276945773655,2.58,50.37,466,0.0,1.4609601478151442,45.00582407283438,16.31,5.72,220,0.8316353230673303,51.72419675324676,0.0,Country/Region,1626,854,1.4801315722411676,0,1.9762014170295088,2127,n/a,1249,0.0,192,14.24,n/a,12106,1325,6769,1489,6713,2972,11137,1637,25.45,728,3.12,55.91,1.47,24.55,10.88,13.52,8.36,6.01,1.29,8.87,385,2437,9.97,0,74.55
TAIWAN,29809,630775,21,77.95,0.8406757522895769,5146,5110,0.0,1.4752380825121756,0.85,17.26,602,0.0,1.3707292122947115,21.16055553691838,8.93,2.11,176,1.6595405907962275,44.252683226542324,0.0,Country/Region,1702,629,1.388716582820424,0,0.9291579634119148,11274,n/a,1687,0.0,124,37.82,n/a,20579,1814,9991,2630,7543,4937,24699,3242,17.14,2409,2.02,48.55,0.59,23.99,5.71,15.75,5.66,11.71,0.42,6.09,254,2662,8.82,0,82.86
