Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1212411,25997374,n/a,63.04,0.9818636113496165,96581,99343,n/a,100,1.28,7.97,3241,n/a,100,21.44270713479175,9.92,1.61,8929,n/a,37.74800014607258,0.0,,50502,19532,n/a,0,1.0,171664,n/a,24933,0.0,1814,14.16,n/a,0,27606,0,36671,456094,0,1113068,0,8.19,0,0.27,0.0,0.74,0.0,4.17,0.0,2.06,0.0,0.15,2.28,15517,120308,3.02,0,91.81
Baseline for All Items,1044620,25821400,n/a,70.74,1.0558528074323679,96581,96459,n/a,n/a,1.34,9.25,3173,n/a,n/a,24.71846221592541,10.9,1.87,8869,100,42.08331828320346,0.0,,48228,19532,100,0,1.1527677946885075,171664,n/a,24593,0.0,1798,16.43,n/a,0,27227,0,36189,452603,0,948161,0,9.23,0,0.3,0.0,0.85,0.0,4.62,0.0,2.35,0.0,0.17,2.61,14039,113905,3.46,0,90.77
USA,426797,13547231,1,67.6,1.3426830600964863,46017,41169,0.0,35.20233650140093,1.91,10.78,1014,0.0,52.109997725154855,31.741626581255257,13.87,2.5,6504,40.856675154601675,43.936385938748394,0.0,Country/Region,17383,10650,52.46512969862207,0,1.4802994035092263,78158,n/a,11235,0.0,930,18.31,n/a,0,11715,0,16268,259817,0,385628,0,9.65,0,0.24,0.0,1.52,0.0,4.07,0.0,2.63,0.0,0.22,2.74,8169,59185,3.81,0,90.35
UNITED KINGDOM,104367,2761843,2,69.99,1.1724125068268707,18159,12144,0.0,8.608219489925446,1.51,17.4,119,0.0,10.62354605507464,26.46279954391714,12.17,2.07,374,9.990905783921427,43.7650131028007,0.0,Country/Region,6737,2161,10.695945998280495,0,1.234116540302883,12863,n/a,1979,0.0,307,12.32,n/a,0,5809,0,4914,40128,0,92223,0,11.64,0,0.11,0.0,0.36,0.0,6.46,0.0,1.9,0.0,0.29,5.57,1579,12705,4.71,0,88.36
ENGLAND,88977,2406890,3,69.95,1.2017315216291853,15636,10431,0.0,7.338847964922786,1.57,17.57,98,0.0,9.25820430940448,27.050698495116716,12.48,2.3,332,8.517642779192434,43.99773520347955,0.0,Country/Region,5696,2050,9.321299387329889,0,1.261533738490778,11588,n/a,1791,0.0,276,13.02,n/a,0,5009,0,4305,35933,0,78546,0,11.72,0,0.11,0.0,0.37,0.0,6.4,0.0,2.01,0.0,0.31,5.63,1395,11104,4.84,0,88.28
GERMANY (FED REP GER),74217,1910067,4,75.52,0.9787638829378714,17628,6457,0.0,6.1214390169670185,1.25,23.75,110,0.0,7.347153600975237,25.73624641254699,10.59,2.24,455,7.104688786352932,43.94571954942938,0.0,Country/Region,2842,1662,7.39722478254471,0,1.2002330792826426,8308,n/a,2358,0.0,148,11.19,n/a,0,1633,0,3050,32152,0,67760,0,8.7,0,0.15,0.0,0.61,0.0,3.83,0.0,3.18,0.0,0.2,2.2,927,7856,4.11,0,91.3
JAPAN,76218,1701175,5,80.04,0.8633140478627096,9098,10587,0.0,6.286482059301672,0.98,11.94,727,0.0,6.54364167704015,22.31985882599911,8.95,5.24,592,7.296241695544792,44.330041117583775,0.0,Country/Region,7499,3992,6.588236888782173,0,1.0409067607785465,15379,n/a,1333,0.0,30,20.18,n/a,0,1481,0,1769,38844,0,65631,0,13.89,0,0.95,0.0,0.78,0.0,9.84,0.0,1.75,0.0,0.04,1.94,745,6818,2.32,0,86.11
FRANCE,57109,1515834,6,76.47,1.0059310493967677,14278,5852,0.0,4.710366369160293,1.3,25.0,105,0.0,5.830719671917633,26.542821621810923,10.79,2.69,396,5.4669640634872,44.114121479976895,0.0,Country/Region,2951,1534,5.870456288195063,0,1.2378484421280935,9538,n/a,2113,0.0,59,16.7,n/a,0,1385,0,2400,22719,0,51257,0,10.25,0,0.18,0.0,0.69,0.0,5.17,0.0,3.7,0.0,0.1,2.43,742,6164,4.2,0,89.75
CANADA,51025,1482030,7,72.81,1.1766179637432632,10807,4678,0.0,4.2085563393931595,1.53,21.18,127,0.0,5.700691154421982,29.045173934345907,12.31,1.65,401,4.88455132009726,45.29921785595297,0.0,Country/Region,2569,840,5.7395416205163166,0,1.3545479006808248,5504,n/a,1367,0.0,62,10.79,n/a,0,1111,0,1581,19756,0,46347,0,9.17,0,0.25,0.0,0.79,0.0,5.03,0.0,2.68,0.0,0.12,2.18,783,6282,3.1,0,90.83
ITALY,35508,865956,8,76.59,0.937586208741692,8797,3590,0.0,2.9287098187000944,1.12,24.77,47,0.0,3.3309364245788826,24.38763095640419,10.04,1.71,182,3.399130784400069,43.94803278979385,0.0,Country/Region,1610,607,3.353636905822303,0,1.1373391803143256,6864,n/a,1513,0.0,38,19.33,n/a,0,792,0,1751,12088,0,31918,0,10.11,0,0.13,0.0,0.51,0.0,4.53,0.0,4.26,0.0,0.11,2.23,397,3564,4.93,0,89.89
