Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1859792,44681593,n/a,65.78,0.9739739132655695,255887,298670,n/a,100,1.19,13.76,32980,n/a,100,24.025048500047316,9.83,2.17,17956,n/a,38.37877601973769,0.0,,126930,40281,n/a,0,1.0,417985,n/a,90307,0.0,20814,22.47,n/a,1296134,87036,622210,120804,560091,292436,1561122,201097,16.06,180391,1.77,48.01,0.97,22.56,6.82,15.52,4.86,13.92,1.12,4.68,22135,182746,6.5,0,83.94
Baseline for All Items,1644817,44194129,n/a,71.94,1.025363284000591,255887,285811,n/a,n/a,1.25,15.56,31488,n/a,n/a,26.86872095801539,10.55,2.45,17618,100,41.716059594593204,0.0,,119472,40281,100,0,1.1183628186208439,417985,n/a,88624,0.0,20243,25.41,n/a,1189819,83703,580183,117233,555083,280772,1359006,184218,17.38,144646,1.91,48.76,1.07,23.6,7.26,15.48,5.39,12.16,1.23,5.09,20611,173555,7.13,0,82.62
USA,549008,19539886,1,70.37,1.3520798715137121,112156,110200,0.0,29.519860285451276,1.95,20.43,8033,0.0,43.73139963922056,35.59125914376475,14.15,3.42,7820,33.3780596868831,44.818811864672284,0.0,Country/Region,46597,18775,44.213759705502966,0,1.4814229883321426,131549,n/a,30801,0.0,12767,23.96,n/a,412326,33523,250951,47750,285252,81968,438808,48412,20.07,30995,1.46,60.86,1.42,19.88,8.49,11.74,5.61,7.52,2.33,6.11,10693,77661,8.7,0,79.93
UNITED KINGDOM,146877,5032124,2,72.59,1.2884814695289257,48100,33842,0.0,7.897496064075983,1.79,32.75,2584,0.0,11.2621857506289,34.26080325714714,13.41,3.05,1969,8.929686402803473,45.62119125935307,0.0,Country/Region,13556,4482,11.386408362069995,0,1.4260451235750748,20898,n/a,9650,0.0,4684,14.23,n/a,105676,11879,57165,15733,47313,25524,113035,15226,23.04,7761,1.76,54.09,1.34,24.15,9.23,14.41,6.57,7.34,3.19,8.09,2632,19694,10.71,0,76.96
ENGLAND,125902,4422314,3,72.82,1.316682713539102,41412,29321,0.0,6.7696817708646995,1.86,32.89,2247,0.0,9.897395556152173,35.125049641784884,13.68,3.33,1622,7.654468551820659,45.93900456624994,0.0,Country/Region,11668,4192,10.006564446603303,0,1.4620178453215489,19064,n/a,8539,0.0,4055,15.14,n/a,91058,10288,49681,13784,41828,21857,96581,12968,23.29,6552,1.78,54.56,1.29,24.0,9.27,14.24,6.78,7.2,3.22,8.17,2348,17220,10.95,0,76.71
GERMANY (FED REP GER),116549,3947889,4,76.51,1.161827295815494,46106,24738,0.0,6.266776069581975,1.52,39.56,2244,0.0,8.835604854106254,33.87321212537216,12.49,4.19,1435,7.085833864800765,45.68993859492574,0.0,Country/Region,9623,4879,8.933062126872102,0,1.4099123306787686,18437,n/a,10022,0.0,1185,15.82,n/a,92125,7660,46677,11436,48665,21152,91811,12505,21.23,11791,1.93,50.67,1.23,22.96,8.26,13.57,8.6,12.8,1.02,6.57,1769,14552,9.81,0,78.77
JAPAN,112743,2765076,5,75.94,0.8089323266189477,23539,23430,0.0,6.062129528463398,0.83,20.88,2193,0.0,6.188400668704896,24.52547830020489,8.09,5.76,1672,6.854440341995492,40.45469619754664,0.0,Country/Region,12968,6497,6.256659114155186,0,1.0208295021821325,35772,n/a,5779,0.0,486,31.73,n/a,88109,4543,39126,6597,46146,24006,89313,15012,20.78,9965,1.95,44.41,1.48,27.25,11.5,17.04,5.13,11.31,0.43,4.03,934,9122,5.85,0,79.22
CANADA,77046,2704816,6,74.96,1.2738596163330997,27165,15107,0.0,4.142721336579575,1.72,35.26,1570,0.0,6.053535289129015,35.10650780053474,13.37,2.8,842,4.684168512363382,46.77126381642136,0.0,Country/Region,6905,2158,6.120306161028765,0,1.4612460740907809,12259,n/a,4412,0.0,800,15.91,n/a,57106,4789,31471,5790,27293,12377,61939,8762,19.61,4496,2.04,55.11,1.09,21.67,8.96,15.34,5.73,7.87,1.04,6.22,1328,10298,7.51,0,80.39
FRANCE,80560,2702783,7,78.83,1.1608179294935452,33754,19901,0.0,4.331667197191944,1.46,41.9,1724,0.0,6.048985317063337,33.54993793445879,12.35,4.15,1004,4.897809300365937,46.78843867179742,0.0,Country/Region,7502,3346,6.115706002487344,0,1.3964566162849876,17819,n/a,9540,0.0,790,22.12,n/a,62704,5438,32276,9671,27804,14059,60659,7813,24.7,8556,2.14,51.47,1.25,22.42,9.31,12.46,11.84,13.65,0.98,6.75,1179,9950,12.0,0,75.3
CHINA MAINLAND,123034,2350002,8,70.99,0.7246909642862949,20823,10596,0.0,6.615470977399624,0.77,16.92,1813,0.0,5.25944095144504,19.10042752409903,7.82,1.22,855,7.480102649717263,37.95165729554432,0.0,Country/Region,4369,1507,5.317452913259134,0,0.795021392945842,35051,n/a,3165,0.0,316,28.49,n/a,77334,2428,25446,3559,23558,22725,112438,15609,8.61,13554,1.47,32.9,0.69,29.39,3.55,20.18,2.57,17.53,0.26,1.97,951,9617,2.89,0,91.39
