Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,3205014,37681991,n/a,67.93,0.9645776282724507,627007,1110053,n/a,100,1.15,19.56,477547,n/a,100,11.757200124554839,9.75,2.01,102261,n/a,39.25012793881712,0.52,,231917,64323,n/a,16628,1.0,912299,n/a,382413,0.0,151925,28.46,n/a,2128008,466002,1026334,298328,82828,522872,2094961,315414,34.63,263388,14.9,48.23,3.19,24.57,7.24,14.82,11.93,12.38,4.74,14.54,36867,312415,9.31,0,65.37
Baseline for All Items,2995730,37464216,n/a,71.56,0.9847543770299727,627007,1079650,n/a,n/a,1.17,20.93,470441,n/a,n/a,12.505872024514893,10.1,2.15,101009,100,41.13163411986394,0.55,,216424,64323,100,16582,1.0636777372187838,912299,n/a,375196,0.0,151031,30.45,n/a,2027364,458914,963524,291776,82296,513110,1916080,307615,36.04,243115,15.7,47.53,3.37,25.31,7.22,15.17,12.52,11.99,5.04,15.32,35030,302541,9.74,0,63.96
USA,798782,12797199,1,69.13,1.3159901463728527,250272,309208,81.26,24.92288645229007,1.96,31.33,84920,66.07,33.96104786501329,16.020890555871315,13.76,3.56,32346,26.664018452931337,43.64322652901542,0.97,Country/Region,86575,28475,34.15845936826757,7764,1.3626450503646514,209359,n/a,94244,0.0,73074,26.21,n/a,588193,129936,348436,105367,38954,138181,489574,64119,38.71,37457,10.63,59.24,4.05,23.49,10.84,10.9,11.8,6.37,9.15,16.27,15627,109913,13.19,0,61.29
CHINA MAINLAND,473817,8371829,2,81.28,1.0529175852702626,112480,145844,92.04,14.783617169846996,1.41,23.74,88666,81.94,22.21705588751932,17.668908038335477,11.84,2.11,10970,15.816412026450982,47.0611624677882,0.9,Country/Region,24202,9977,22.346200972148996,4268,1.5028159639329497,164254,n/a,49753,0.0,8763,34.67,n/a,350511,67871,158904,22006,16336,95745,327973,54848,30.78,41014,18.71,45.33,2.32,27.32,5.11,15.65,10.5,11.7,1.85,14.32,6691,56119,4.64,0,69.22
UNITED KINGDOM,240018,4228729,3,71.35,1.4562633631644295,118043,137399,70.08,7.488828441935043,2.25,49.18,30582,50.36,11.222148532438215,17.61838278795757,15.31,3.96,22368,8.012003752007022,46.58128517069554,1.2,Country/Region,21353,9495,11.28738153762513,2870,1.4985185759628,33228,n/a,57014,0.0,58565,13.84,n/a,169261,59058,100812,63096,8611,40343,102619,18951,57.25,9155,12.74,59.56,9.32,23.83,8.9,11.2,23.75,5.41,24.4,24.61,5412,36756,26.29,0,42.75
ENGLAND,210572,3777114,4,71.36,1.4802309233896245,103575,120495,68.57,6.5700805051085585,2.34,49.19,26902,48.95,10.023658250966621,17.937399084398685,15.56,4.21,19880,7.029071378261725,46.75527837794199,1.23,Country/Region,18885,8864,10.081924575707122,2596,1.5256522721712067,30712,n/a,51536,0.0,49534,14.59,n/a,149008,52616,89097,54828,7873,35332,90077,16588,57.22,7991,12.78,59.79,9.44,23.71,8.97,11.13,24.47,5.36,23.52,24.99,4921,32762,26.04,0,42.78
GERMANY (FED REP GER),187560,3332736,5,76.38,1.2855547366176159,93997,77913,71.58,5.852080521333136,1.92,50.12,27472,59.95,8.844373430268055,17.76890595009597,13.69,5.42,9947,6.260911363841201,47.1603910999147,1.11,Country/Region,15916,10159,8.89578471360511,2090,1.511321212691253,32324,n/a,33431,0.0,11649,17.23,n/a,139766,38470,74890,24578,8330,34239,109647,16169,41.54,14468,14.65,53.58,5.3,24.5,8.49,11.57,17.82,10.35,6.21,20.51,3604,25673,13.1,0,58.46
CANADA,122240,2232318,6,75.85,1.3861139357002619,60025,45337,70.15,3.8140239012996515,2.12,49.1,15681,57.82,5.92409780045858,18.261763743455496,14.07,3.45,4489,4.080474542098253,47.32426429319372,1.23,Country/Region,11908,4220,5.958533871361408,1502,1.553240869423998,20898,n/a,15103,0.0,7309,17.1,n/a,91037,21265,51363,13259,4908,22822,76903,11198,37.09,5654,12.83,56.42,3.67,25.07,9.74,12.3,12.36,6.21,5.98,17.4,2596,17205,10.85,0,62.91
AUSTRALIA,112001,2225657,7,78.81,1.4706927277435025,56682,44805,70.99,3.494555718009344,2.31,50.61,14914,58.47,5.906420921336136,19.871760073570773,15.56,2.24,3805,3.73868806601396,50.353462658369125,1.34,Country/Region,9814,2509,5.94075423865803,1504,1.6901779218734847,22648,n/a,16399,0.0,9035,20.22,n/a,84482,22325,46231,16272,3704,21352,67196,10989,40.0,5910,13.32,54.72,3.4,25.27,8.76,13.01,14.64,7.0,8.07,19.93,2582,17425,14.53,0,60.0
FRANCE,124932,2190942,8,77.36,1.2500794928441075,69419,58781,66.3,3.898017294152225,1.83,55.57,17455,56.61,5.814294685225098,17.537076169436173,13.0,5.63,5499,4.170335777923912,46.97753994653092,1.12,Country/Region,11669,7028,5.8480924837717145,1401,1.4916031013889182,28649,n/a,31284,0.0,6936,22.93,n/a,93395,24159,52460,24158,5329,21720,66151,10711,47.05,8504,13.97,56.17,4.4,23.26,9.34,11.47,25.04,9.11,5.55,19.34,2292,16239,19.34,0,52.95
