Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2953501,43291928,n/a,68.72,0.9684618294356427,542263,887743,n/a,100,1.14,18.36,344775,n/a,100,14.657834210992311,9.7,2.02,79768,n/a,39.44909162004686,0.52,,201407,59722,n/a,15421,1.0,815363,n/a,312227,0.0,125069,27.61,n/a,1999715,374059,965261,261793,166536,477845,2065758,303072,30.06,253537,11.67,48.27,2.7,23.9,6.82,15.16,10.57,12.68,4.23,12.66,33802,286506,8.86,0,69.94
Baseline for All Items,2757578,43013362,n/a,72.47,0.9989330501258714,542263,867422,n/a,n/a,1.18,19.66,339230,n/a,n/a,15.598239469563508,10.12,2.17,78681,100,41.43136367384713,0.56,,190973,59722,100,15387,1.0641571766356834,815363,n/a,308125,0.0,124370,29.57,n/a,1913963,367819,918991,258538,165006,468646,1890156,294649,31.46,231677,12.3,48.02,2.85,24.49,6.93,15.39,11.17,12.1,4.51,13.34,32502,279032,9.38,0,68.54
USA,744369,15391969,1,70.57,1.354626868663257,219496,268935,76.38,25.20293712444993,2.0,29.49,65339,65.89,35.55390048694528,20.677874817462843,14.05,3.49,25602,26.993579148078496,44.57627348331271,0.99,Country/Region,74713,26001,35.78415702543782,7405,1.4107046457078862,189885,n/a,82624,0.0,70556,25.51,n/a,557011,111156,334621,103281,82276,127027,475434,60272,36.13,35091,8.78,60.07,3.44,22.81,10.04,10.82,11.1,6.3,9.48,14.93,14856,104559,13.87,0,63.87
CHINA MAINLAND,392305,7722068,2,80.26,0.9491822783293611,86190,95263,90.67,13.282710925102107,1.17,21.97,49607,82.09,17.83720050536904,19.68383783025962,10.55,2.04,9127,14.226433486196946,45.154137170059016,0.75,Country/Region,20375,7985,17.952718971374523,2931,1.34288855685775,130686,n/a,34138,0.0,5747,33.31,n/a,292604,43906,124251,16154,23109,78642,297042,52953,24.28,36758,12.65,42.46,2.33,26.88,5.19,18.1,8.7,12.56,1.46,11.19,4577,41377,4.12,0,75.72
UNITED KINGDOM,226006,4844921,3,70.83,1.4364793921400318,102094,101941,66.3,7.652138936130376,2.16,45.17,23577,51.46,11.191280277468815,21.437134412360734,15.02,3.66,15752,8.195815313293043,46.0155325199331,1.16,Country/Region,19670,8278,11.263757992225765,2616,1.4625035393212757,31591,n/a,37937,0.0,38550,13.98,n/a,160973,45384,97720,42942,15661,36736,124065,17320,45.11,9197,10.43,60.71,6.97,22.82,8.7,10.76,16.79,5.71,17.06,20.08,4889,33946,19.0,0,54.89
ENGLAND,197454,4331622,4,70.91,1.4646888460097034,89382,89178,64.79,6.685421809574469,2.24,45.27,20662,50.14,10.005611207705972,21.937372755173357,15.27,3.92,14033,7.160413957465574,46.26590175990357,1.2,Country/Region,17372,7746,10.070410213458786,2377,1.4966312512063973,29191,n/a,33599,0.0,32905,14.78,n/a,141416,40253,86332,37111,13890,32084,108276,15072,45.16,7928,10.46,61.05,7.11,22.69,8.8,10.66,17.02,5.61,16.66,20.39,4418,30152,18.79,0,54.84
GERMANY (FED REP GER),176150,3959636,5,76.63,1.3306582707919388,84102,64529,68.44,5.964108358182374,1.97,47.74,21031,61.14,9.1463609567123,22.478773772353108,13.77,5.29,7817,6.387851948340175,47.28137238830543,1.08,Country/Region,14811,9327,9.205595228757055,1907,1.5335672002276886,30483,n/a,28562,0.0,8764,17.31,n/a,133714,30191,75371,20870,16516,29379,111621,14711,36.63,14253,11.94,56.37,4.44,21.97,8.41,11.0,16.21,10.66,4.98,17.14,3465,24264,11.85,0,63.37
CANADA,114850,2624937,6,76.63,1.421220944710492,52565,37624,67.61,3.888605421159499,2.08,45.77,12280,58.17,6.063340491557687,22.85535045711798,14.21,3.26,3564,4.164886723059149,47.83390368654767,1.11,Country/Region,10399,3740,6.1026083011135,1270,1.5592583548242158,19327,n/a,13091,0.0,5547,16.83,n/a,85652,17542,48468,11381,7972,20587,77226,11199,32.76,5398,10.69,56.59,3.1,24.04,9.05,13.08,11.4,6.3,4.83,15.27,2388,16324,9.91,0,67.24
FRANCE,120750,2596380,7,77.47,1.2872790492753625,62846,49522,65.36,4.088368346582581,1.84,52.05,13581,58.17,5.9973766934103745,21.502111801242236,12.97,5.55,4120,4.3788425930291,47.11433319171843,1.03,Country/Region,11199,6697,6.036217303822937,1242,1.466936485413187,29733,n/a,26645,0.0,5040,24.62,n/a,90290,19253,51655,20622,9288,20213,71228,10226,41.01,8196,11.25,57.21,3.41,22.39,9.27,11.33,22.07,9.08,4.17,15.94,2226,15659,17.08,0,58.99
AUSTRALIA,104648,2483587,8,78.33,1.4179613494763397,47469,35603,69.46,3.543184850792331,2.1,45.36,11122,59.06,5.7368362065094445,23.732770812629003,14.79,2.32,2964,3.7949243865450044,49.63321428312056,1.18,Country/Region,8503,2428,5.773989487266771,1238,1.6191185185346924,21757,n/a,13642,0.0,6120,20.79,n/a,78080,17260,42016,13014,5995,20341,69045,10761,34.02,4962,10.63,53.81,2.83,26.05,8.13,13.78,13.04,6.36,5.85,16.49,2193,15473,12.44,0,65.98
