Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1272566,27336666,n/a,61.65,0.980806127619314,105588,116266,n/a,100,1.21,8.3,3892,n/a,100,21.48153101685885,9.77,1.6,9082,n/a,36.72486988431249,0.0,,63739,20365,n/a,0,1.0,179812,n/a,28476,0.0,2014,14.13,n/a,0,30190,0,39553,493289,0,1156300,0,9.14,0,0.31,0.0,0.71,0.0,5.01,0.0,2.24,0.0,0.16,2.37,15438,124360,3.11,0,90.86
Baseline for All Items,1080817,27161338,n/a,70.2,1.0661704681736133,105588,112420,n/a,n/a,1.32,9.77,3751,n/a,n/a,25.13037637268844,10.91,1.88,9006,100,41.559062306292375,0.0,,60593,20365,100,0,1.1698596507374615,179812,n/a,28052,0.0,2003,16.64,n/a,0,29815,0,39070,490715,0,968397,0,10.4,0,0.35,0.0,0.83,0.0,5.61,0.0,2.6,0.0,0.19,2.76,14281,117891,3.61,0,89.6
USA,430269,13962857,1,66.88,1.3729724728018986,49585,47665,0.0,33.81113435373882,1.91,11.52,1039,0.0,51.07739546585527,32.4514594358413,14.16,2.57,6543,39.809606991747906,43.454639711436336,0.0,Country/Region,22740,11078,51.40710299323251,0,1.5106679039949795,80195,n/a,12348,0.0,1039,18.64,n/a,0,12933,0,17343,283859,0,382604,0,11.08,0,0.24,0.0,1.52,0.0,5.29,0.0,2.87,0.0,0.24,3.01,8209,60926,4.03,0,88.92
UNITED KINGDOM,106683,2928637,2,69.4,1.2069920990223373,20223,13453,0.0,8.383297997903448,1.51,18.96,180,0.0,10.71321938088573,27.451768322975543,12.29,1.97,408,9.870588638039557,43.28289849085609,0.0,Country/Region,8288,2102,10.782373828564705,0,1.2779241992310144,13273,n/a,2418,0.0,385,12.44,n/a,0,5403,0,4577,47316,0,93230,0,12.61,0,0.17,0.0,0.38,0.0,7.77,0.0,2.27,0.0,0.36,5.06,1612,13109,4.29,0,87.39
ENGLAND,90829,2544013,3,69.2,1.2395564048927106,17325,11620,0.0,7.137468704963043,1.6,19.07,153,0.0,9.306229955035482,28.008818769335786,12.63,2.18,356,8.40373532244589,43.411665699281066,0.0,Country/Region,7077,1979,9.366302204994467,0,1.30385579814373,11967,n/a,2160,0.0,338,13.18,n/a,0,4697,0,4034,42166,0,79209,0,12.79,0,0.17,0.0,0.39,0.0,7.79,0.0,2.38,0.0,0.37,5.17,1450,11476,4.44,0,87.21
GERMANY (FED REP GER),77924,2263011,4,76.66,1.0817856706534572,19992,8031,0.0,6.123375919205762,1.3,25.66,143,0.0,8.278299189813417,29.04125814896566,11.18,2.39,480,7.209731157078396,44.566508329911194,0.0,Country/Region,3856,1861,8.33173608752264,0,1.3519175205051208,8956,n/a,2893,0.0,127,11.49,n/a,0,1991,0,3552,36770,0,69893,0,10.31,0,0.18,0.0,0.62,0.0,4.95,0.0,3.71,0.0,0.16,2.56,1010,8715,4.56,0,89.69
JAPAN,83085,1825101,5,78.04,0.8379402611783114,9988,12538,0.0,6.528934452122718,0.92,12.02,892,0.0,6.676384750064254,21.96667268460011,8.56,5.05,662,7.687240300624435,42.76855802972859,0.0,Country/Region,8736,4199,6.719481197870296,0,1.0225841290064714,16696,n/a,1865,0.0,31,20.1,n/a,0,1719,0,2248,42521,0,70547,0,15.09,0,1.07,0.0,0.8,0.0,10.51,0.0,2.24,0.0,0.04,2.07,768,7108,2.71,0,84.91
FRANCE,59264,1637983,6,76.85,1.0058388785772139,15576,7137,0.0,4.657047257273886,1.21,26.28,128,0.0,5.9918901595388405,27.638752024838013,10.82,2.71,397,5.483259423195601,44.46069706061015,0.0,Country/Region,3759,1609,6.030568155368488,0,1.2866285928664458,9376,n/a,2508,0.0,55,15.82,n/a,0,1757,0,2853,24839,0,52127,0,12.04,0,0.22,0.0,0.67,0.0,6.34,0.0,4.23,0.0,0.09,2.96,720,6415,4.81,0,87.96
CANADA,50733,1587078,7,72.93,1.236685228549465,11385,5413,0.0,3.986669453686489,1.62,22.44,132,0.0,5.805675059277529,31.282951924782687,12.66,1.73,394,4.693949114419925,45.35043231821496,0.0,Country/Region,3200,878,5.843151025917796,0,1.4562719901217291,5505,n/a,1461,0.0,79,10.85,n/a,0,1235,0,1687,19928,0,45320,0,10.67,0,0.26,0.0,0.78,0.0,6.31,0.0,2.88,0.0,0.16,2.43,824,6423,3.33,0,89.33
ITALY,37591,984724,8,77.82,1.0370878242132426,9652,4301,0.0,2.953952879457726,1.1,25.68,60,0.0,3.6022095744960265,26.195738341624324,10.5,1.95,173,3.478017092625301,44.98648592748265,0.0,Country/Region,2153,732,3.625462044616506,0,1.2194539728600227,7224,n/a,1663,0.0,40,19.22,n/a,0,1007,0,1915,12443,0,33290,0,11.44,0,0.16,0.0,0.46,0.0,5.73,0.0,4.42,0.0,0.11,2.68,415,3948,5.09,0,88.56
NETHERLANDS,24168,843249,9,79.68,1.2610041087388282,7080,5358,0.0,1.8991549357754334,1.75,29.29,43,0.0,3.0846812116737277,34.891137040714995,14.28,3.24,125,2.236086219961381,50.12152208291956,0.0,Country/Region,1827,782,3.104593006427003,0,1.624238840952826,3074,n/a,2016,0.0,66,12.72,n/a,0,2463,0,3363,13730,0,18810,0,22.17,0,0.18,0.0,0.52,0.0,7.56,0.0,8.34,0.0,0.27,10.19,424,3451,13.92,0,77.83
AUSTRALIA,27136,767741,10,76.49,1.0915730358195757,5419,2906,0.0,2.1323844892917143,1.47,19.97,54,0.0,2.8084661092175613,28.292342275943398,11.5,0.89,121,2.5106932996057614,46.152202012087265,0.0,Country/Region,1893,241,2.82659491958754,0,1.3170542757748216,3400,n/a,547,0.0,53,12.53,n/a,0,781,0,838,8627,0,24230,0,10.71,0,0.2,0.0,0.45,0.0,6.98,0.0,2.02,0.0,0.2,2.88,399,3120,3.09,0,89.29
SWITZERLAND,15776,633469,11,80.22,1.3928185788539555,6143,2698,0.0,1.239699944835867,1.98,38.94,30,0.0,2.3172869727420307,40.153968052738335,15.9,6.03,146,1.4596365527189152,50.777833937626774,0.0,Country/Region,1047,952,2.3322451935173443,0,1.8692321334650326,949,n/a,1208,0.0,99,6.02,n/a,0,933,0,1475,14018,0,13078,0,17.1,0,0.19,0.0,0.93,0.0,6.64,0.0,7.66,0.0,0.63,5.91,312,2508,9.35,0,82.9
SWEDEN,17349,628545,12,84.64,1.2339735431436971,5684,2215,0.0,1.3633084649440579,1.64,32.76,90,0.0,2.2992745347951358,36.22946567525506,14.49,2.95,168,1.6051746040263986,52.44419757334717,0.0,Country/Region,1224,511,2.3141164842468367,0,1.6865402026895537,1984,n/a,474,0.0,16,11.44,n/a,0,662,0,733,9526,0,15134,0,12.77,0,0.52,0.0,0.97,0.0,7.06,0.0,2.73,0.0,0.09,3.82,285,2514,4.23,0,87.23
SPAIN,22919,560603,13,80.23,0.894766337972861,5650,3097,0.0,1.8010067847168636,0.87,24.65,121,0.0,2.050736545561189,24.460185871983942,9.25,0.94,114,2.120525491364403,45.94323398490336,0.0,Country/Region,1421,216,2.063974167988337,0,1.1386611993710982,2886,n/a,1048,0.0,141,12.59,n/a,0,961,0,1441,5513,0,19822,0,13.51,0,0.53,0.0,0.5,0.0,6.2,0.0,4.57,0.0,0.62,4.19,200,2121,6.29,0,86.49
SCOTLAND,12588,374015,14,74.86,1.1425558547823325,2547,1692,0.0,0.9891824864093494,1.39,20.23,25,0.0,1.3681807430357456,29.7120273276136,12.23,1.85,48,1.1646745008636985,46.309401128058475,0.0,Country/Region,1063,233,1.3770124284746208,0,1.3831429102653532,2351,n/a,295,0.0,43,18.68,n/a,0,658,0,556,4844,0,10896,0,13.44,0,0.2,0.0,0.38,0.0,8.44,0.0,2.34,0.0,0.34,5.23,175,1540,4.42,0,86.56
