Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2477921,47174075,n/a,67.11,0.9658384936000786,385011,578333,n/a,100,1.16,15.54,141952,n/a,100,19.03776391579877,9.7,1.99,47218,n/a,38.8895449613204,0.0,,177883,49192,n/a,0,1.0,616693,n/a,190909,0.0,84455,24.89,n/a,1685644,205794,804310,211280,368609,400951,1899588,255212,23.34,225171,5.73,47.72,1.91,23.79,7.18,15.14,7.7,13.36,3.41,8.31,28748,240433,8.53,0,76.66
Baseline for All Items,2254641,46632202,n/a,71.93,1.00491042560656,385011,559760,n/a,n/a,1.21,17.08,139604,n/a,n/a,20.68276146845551,10.27,2.18,46390,100,41.485787749180474,0.0,,168455,49192,100,0,1.0864070780545616,616693,n/a,187628,0.0,83597,27.35,n/a,1583610,200561,755626,205311,365677,385313,1694881,244499,24.83,198172,6.19,47.72,2.06,24.33,7.47,15.44,8.32,12.51,3.71,8.9,27220,231663,9.11,0,75.17
USA,652107,18694500,1,71.27,1.3605941311778589,161536,202381,72.89,26.316698554957966,1.98,24.77,28875,63.52,39.62875795656831,28.667841320519486,14.2,3.4,17456,28.922875082995475,45.396686172361285,0.0,Country/Region,59492,22162,40.0892499136112,0,1.5058407829466283,160622,n/a,56615,0.0,62542,24.63,n/a,483866,75071,292873,96558,187248,108825,449726,53349,31.03,28819,4.43,60.53,2.68,22.49,9.12,11.03,8.68,5.96,9.59,11.51,12906,92618,14.81,0,68.97
UNITED KINGDOM,189017,5264425,2,71.39,1.4059859711031284,71463,58251,64.17,7.628047867547029,2.0,37.81,9315,50.34,11.159572286261046,27.85159535914759,14.34,3.27,5189,8.383463265326942,45.93549189120555,0.0,Country/Region,19626,6186,11.28924814659192,0,1.462965686638993,26096,n/a,21194,0.0,13277,13.81,n/a,132662,22026,76554,24121,33237,32859,130766,15779,30.82,7470,4.93,57.71,2.75,24.77,10.38,11.89,11.21,5.63,7.02,11.65,3780,27100,12.76,0,69.18
CHINA MAINLAND,259468,4955602,3,71.99,0.8567964045662664,45826,40576,89.28,10.471197427198042,0.99,17.66,16182,79.83,10.504926699675616,19.099087363374288,9.14,1.5,3854,11.508173585062988,40.692690528697185,0.0,Country/Region,11652,3902,10.626995482649521,0,1.0032211476015116,76676,n/a,10770,0.0,2611,29.55,n/a,159607,13379,65257,8888,34292,41907,218892,30301,15.64,22142,6.24,40.89,1.49,26.26,4.49,18.98,4.15,13.87,1.01,5.16,2562,23715,3.43,0,84.36
ENGLAND,163067,4621831,4,71.43,1.432660031766084,61755,50553,62.58,6.580798984309831,2.07,37.87,8005,49.0,9.797396133363504,28.343141162834907,14.62,3.54,4610,7.232503977351605,46.11163287053788,0.0,Country/Region,17066,5767,9.911243307789755,0,1.4887852002048376,23898,n/a,18506,0.0,11406,14.66,n/a,114847,19256,66697,20872,29750,28301,112514,13439,31.0,6410,4.91,58.07,2.83,24.64,10.47,11.7,11.35,5.58,6.99,11.81,3373,23837,12.8,0,69.0
GERMANY (FED REP GER),152901,4371631,5,75.55,1.254546653063093,65578,44346,67.56,6.170535703115636,1.77,42.89,8779,61.32,9.267020074055505,28.59125185577596,13.47,4.9,4041,6.781611795403348,46.510309032642034,0.0,Country/Region,13546,7490,9.374704201186983,0,1.5018177545551494,26145,n/a,20193,0.0,4752,17.1,n/a,117419,16862,63123,17980,34838,26122,108555,15279,29.0,12895,5.74,53.76,2.64,22.25,8.86,13.01,13.21,10.98,3.11,11.03,2705,20598,11.76,0,71.0
FRANCE,104199,2978919,6,77.51,1.2874925450340216,47937,35043,65.23,4.205097741211281,1.74,46.01,6346,58.73,6.3147374908782,28.58874845248035,13.25,4.7,2841,4.621533982571948,47.527059948751905,0.0,Country/Region,10417,4894,6.38811566307763,0,1.5016862578464665,25157,n/a,18936,0.0,2775,24.14,n/a,79996,11258,44337,15439,20545,16963,69156,9497,33.63,9199,6.09,55.42,2.73,21.2,10.0,11.87,18.17,11.5,2.66,10.8,1813,13805,14.82,0,66.37
CANADA,97594,2945686,7,76.66,1.3878142437035064,39401,26630,66.23,3.938543642028943,2.0,40.37,5564,57.57,6.244289898636062,30.183064532655695,14.06,2.77,2159,4.328582687886897,48.052973883640384,0.0,Country/Region,9303,2708,6.3168494595215545,0,1.585431181211772,16026,n/a,9132,0.0,3638,16.42,n/a,72052,10521,40685,9604,18976,17478,70964,9378,27.29,4511,5.7,56.47,2.21,24.26,9.53,13.02,9.36,6.26,3.73,10.78,1954,13720,9.84,0,72.71
JAPAN,116292,2517565,8,77.37,0.8720524283699653,27810,33859,79.85,4.6931278277233215,0.91,23.91,7329,75.29,5.336755410678428,21.648651669934303,8.45,5.41,2723,5.1578943166561775,41.504869524128914,0.0,Country/Region,14783,6287,5.39876928822705,0,1.1371425638894939,37060,n/a,10543,0.0,1844,31.87,n/a,92108,10055,41279,9024,21757,22926,82433,18637,29.12,9266,6.3,44.82,2.34,24.89,12.71,20.23,9.07,10.06,1.59,8.65,1055,9825,7.76,0,70.88
